Day,Month,Year,Temperature,Precipitation,Special Occasion,Qty1,Qty2,Qty3
30,9,2012,25.0168283,12.14413111,1,23,18,25
31,9,2012,31.16614364,5.559641826,1,27,28,27
1,10,2012,19.88547869,15.82001244,1,24,19,25
2,10,2012,22.47320841,5.92104229,1,20,19,24
3,10,2012,17.96354828,8.576314649,1,24,27,28
4,10,2012,30.85758133,10.36734937,1,31,30,31
5,10,2012,19.81159935,9.940459753,1,20,18,22
6,10,2012,24.47828254,5.059990288,1,31,29,31
7,10,2012,21.04998506,9.918727817,1,31,34,29
8,10,2012,26.78002797,12.87435926,1,21,24,19
9,10,2012,24.72394437,12.32231531,1,35,37,34
10,10,2012,24.1721465,17.29569541,1,22,17,17
11,10,2012,19.91476461,4.553145818,1,35,33,31
12,10,2012,23.61900388,10.04222813,1,21,24,19
13,10,2012,27.24097642,18.48090786,1,25,27,29
14,10,2012,28.35285225,6.462471512,1,21,23,19
15,10,2012,19.8395764,13.74272406,1,37,33,35
16,10,2012,24.87210677,7.105381503,1,33,36,36
17,10,2012,29.44490056,18.47730916,1,26,25,29
18,10,2012,28.06304188,9.049067475,1,24,26,22
19,10,2012,22.50491681,10.10675612,1,34,29,37
20,10,2012,20.40443278,10.96376925,1,21,20,25
21,10,2012,23.03985287,9.822842551,1,29,33,28
22,10,2012,16.83788349,9.664329227,1,22,17,17
23,10,2012,24.71014899,2.127265047,1,24,25,25
24,10,2012,32.56036225,16.52491235,1,25,24,28
25,10,2012,28.97587682,11.80429065,1,28,25,29
26,10,2012,21.2106457,9.749579529,1,20,19,18
27,10,2012,18.57107561,13.73348026,1,31,32,34
28,10,2012,20.70513806,5.505289218,1,28,26,25
29,10,2012,13.36026219,18.81593684,1,38,36,41
30,10,2012,34.50525694,5.633411381,1,24,26,27
31,10,2012,22.51663041,9.030224877,2,69,69,69
1,11,2012,24.94532559,8.36287306,1,20,20,17
2,11,2012,22.3375504,13.22527637,1,32,27,32
3,11,2012,28.37566652,14.56945165,1,37,40,38
4,11,2012,24.2095501,8.80794241,1,35,35,35
5,11,2012,20.73707076,10.11479878,1,36,35,39
6,11,2012,24.5144618,10.96739314,1,28,30,28
7,11,2012,32.10304241,7.213625575,1,35,34,38
8,11,2012,20.89071916,13.08346742,1,31,27,28
9,11,2012,22.47493496,11.93050327,1,31,29,26
10,11,2012,23.71982702,14.59020144,1,34,32,31
11,11,2012,14.1149196,11.8351777,2,64,68,59
12,11,2012,27.35216572,11.55723536,1,25,22,22
13,11,2012,25.47057178,11.9101916,1,28,28,32
14,11,2012,18.40022125,5.942557278,1,30,27,25
15,11,2012,25.50278211,17.50328382,1,36,34,39
16,11,2012,18.4278562,21.6064529,1,27,27,31
17,11,2012,24.21058771,11.07176418,1,22,24,17
18,11,2012,23.93918243,3.914465998,1,23,20,22
19,11,2012,19.5886973,6.89706863,1,34,36,33
20,11,2012,30.77092015,10.86252208,1,21,17,19
21,11,2012,21.25952873,6.812419381,1,20,21,20
22,11,2012,20.10014503,11.36101097,1,39,39,36
23,11,2012,28.91220824,15.21975596,1,24,19,23
24,11,2012,17.14885808,12.42287076,1,28,23,23
25,11,2012,20.52036473,16.01037103,1,26,24,26
26,11,2012,24.91037264,17.45072476,1,27,23,31
27,11,2012,23.88761495,5.705400461,1,29,33,29
28,11,2012,21.18654906,6.458936118,1,34,38,36
29,11,2012,21.79495419,16.33020606,1,22,23,24
30,11,2012,18.17109905,15.91243825,1,27,28,23
31,11,2012,24.49989872,11.24192203,1,39,41,36
1,12,2012,31.6236402,13.53518756,1,23,26,26
2,12,2012,29.65204248,9.123417988,1,28,31,30
3,12,2012,27.98448067,12.31707853,1,30,32,33
4,12,2012,23.90991558,12.29828559,1,33,28,29
5,12,2012,37.97212294,7.979838531,1,30,33,28
6,12,2012,26.92707853,10.90968803,1,31,32,28
7,12,2012,27.0724643,6.570903513,1,25,28,28
8,12,2012,18.316934,8.291638615,1,27,31,29
9,12,2012,29.80346699,16.64531423,1,34,37,30
10,12,2012,20.23905381,15.90234134,1,21,19,25
11,12,2012,23.77796302,12.24806306,1,28,29,29
12,12,2012,29.02611546,18.99164098,1,34,30,29
13,12,2012,22.80597097,6.063695023,1,37,39,40
14,12,2012,26.93364952,14.55369713,1,35,34,34
15,12,2012,34.65277379,7.95814659,1,30,34,31
16,12,2012,25.22567008,21.69812403,1,32,29,33
17,12,2012,24.68952456,10.00899292,1,22,17,18
18,12,2012,25.17821649,9.956156504,1,36,39,34
19,12,2012,32.96385377,8.707136842,1,31,28,26
20,12,2012,21.2252864,14.61881294,1,20,22,22
21,12,2012,29.54494719,17.35386455,1,39,42,35
22,12,2012,19.96584124,18.40788358,1,31,30,33
23,12,2012,24.36935915,8.757067175,1,28,27,24
24,12,2012,31.01147074,18.03067369,1,21,17,21
25,12,2012,26.82924394,16.48912633,2,69,69,69
26,12,2012,27.40344648,10.06154647,1,30,31,31
27,12,2012,26.37800337,17.17524693,1,39,43,41
28,12,2012,26.20282163,12.08548929,1,32,31,36
29,12,2012,23.32839375,8.062730081,1,20,16,22
30,12,2012,25.83320516,10.00003591,1,21,21,24
31,12,2012,25.98548012,12.9576157,1,31,35,35
1,1,2013,28.14987287,8.554125463,2,57,59,56
2,1,2013,21.18851078,11.30656947,1,20,16,20
3,1,2013,28.45214512,13.98336054,1,31,29,34
4,1,2013,23.99504885,4.128370463,1,22,22,23
5,1,2013,35.07030077,8.46617112,1,24,26,27
6,1,2013,23.4763176,7.08432688,1,35,33,35
7,1,2013,17.62337507,3.743522247,1,22,23,25
8,1,2013,16.84239759,4.661136889,1,20,21,23
9,1,2013,20.31059884,12.16553977,1,37,39,36
10,1,2013,22.25099021,1.251436127,1,30,34,30
11,1,2013,20.80168432,14.02252549,1,37,33,34
12,1,2013,28.81985465,3.655597571,1,31,35,27
13,1,2013,24.00800552,10.4709615,1,29,30,25
14,1,2013,16.75047962,12.56695417,1,26,21,28
15,1,2013,28.37690681,11.76770053,1,21,19,25
16,1,2013,30.15171116,7.485297231,1,28,31,30
17,1,2013,28.47018135,20.05306668,1,35,34,30
18,1,2013,23.71997336,12.71354222,1,30,26,31
19,1,2013,17.37007376,10.36099445,1,36,35,34
20,1,2013,25.80779634,17.81702373,1,29,29,26
21,1,2013,25.03178683,13.94385097,1,31,26,27
22,1,2013,27.80959249,0,1,36,34,32
23,1,2013,22.91261325,4.512516726,1,31,27,26
24,1,2013,27.32104556,16.17981926,1,21,20,23
25,1,2013,26.62135819,16.48421495,1,33,32,37
26,1,2013,33.79402839,8.79670794,1,37,36,39
27,1,2013,28.76995733,15.32657746,1,21,16,25
28,1,2013,26.03298231,19.15430575,1,27,22,22
29,1,2013,29.41755879,6.655970825,1,39,42,37
30,1,2013,32.16676251,12.09199006,1,23,22,27
31,1,2013,28.15777027,13.91870905,1,25,26,26
1,2,2013,29.23865039,9.801063548,1,22,26,21
2,2,2013,24.60249606,7.37796039,1,21,19,24
3,2,2013,25.6383255,0,1,24,22,20
4,2,2013,26.96559431,19.30543291,1,30,27,29
5,2,2013,26.11231582,9.558122384,1,23,19,23
6,2,2013,32.30175473,17.46510735,1,20,17,19
7,2,2013,19.8425877,2.850043707,1,27,23,24
8,2,2013,25.05966328,14.05020877,1,37,35,38
9,2,2013,17.95581929,10.87332978,1,32,31,30
10,2,2013,19.62496883,5.471379827,1,32,28,36
11,2,2013,30.37138268,10.40783207,1,20,16,17
12,2,2013,27.98453241,5.063566533,1,38,33,35
13,2,2013,21.67425572,9.269072363,1,37,39,35
14,2,2013,24.31259592,12.9533523,1,38,41,33
15,2,2013,32.39170979,15.98386651,1,38,37,33
16,2,2013,35.74787267,9.548780752,1,24,22,25
17,2,2013,23.95773235,11.67906219,1,32,32,31
18,2,2013,24.06787659,13.16801911,1,25,26,23
19,2,2013,32.89432597,6.02249725,1,25,23,20
20,2,2013,29.15186881,17.5293064,1,28,25,23
21,2,2013,35.63451175,17.39637105,1,38,42,41
22,2,2013,25.08228151,6.955183341,1,24,27,27
23,2,2013,27.94586634,21.91746584,1,23,19,27
24,2,2013,23.50284791,7.201706417,1,33,32,30
25,2,2013,24.52920038,14.58663936,1,25,20,24
26,2,2013,28.65175895,15.52289237,1,20,23,19
27,2,2013,28.10308976,17.17855575,1,27,25,31
28,2,2013,20.96717606,20.08106709,1,31,35,34
29,2,2013,24.48304338,7.771920137,1,30,30,30
30,2,2013,19.26999787,10.23533047,1,28,28,31
31,2,2013,22.58732474,7.402880937,1,31,27,28
1,3,2013,25.57549713,11.57170352,1,35,37,36
2,3,2013,22.49955155,16.01425856,1,29,32,30
3,3,2013,24.3883355,11.05307327,1,29,30,24
4,3,2013,24.15120853,9.329336086,1,27,26,23
5,3,2013,27.29336014,5.971521782,1,21,23,21
6,3,2013,22.66324359,12.83081389,1,37,35,35
7,3,2013,24.70405732,16.66663599,1,24,24,22
8,3,2013,33.24252005,2.249929053,1,54,52,53
9,3,2013,21.85542951,5.519328343,1,26,27,22
10,3,2013,29.1632537,11.63533105,1,24,23,21
11,3,2013,29.22573164,13.77369175,1,32,34,31
12,3,2013,28.60851272,13.61608495,1,33,31,36
13,3,2013,24.91535383,6.006695737,1,31,26,27
14,3,2013,28.11932755,9.155864007,1,36,36,34
15,3,2013,24.9183657,0.1390067135,1,33,37,28
16,3,2013,24.5675809,3.019972954,1,31,29,33
17,3,2013,32.80226672,9.649258162,1,28,30,31
18,3,2013,20.53904254,12.15982766,1,31,31,28
19,3,2013,17.24984678,8.730228226,1,29,29,25
20,3,2013,31.96259225,15.18792834,1,38,41,39
21,3,2013,24.92342974,7.991733009,1,25,20,28
22,3,2013,22.29534905,8.997523192,1,36,39,33
23,3,2013,20.51815139,0.1863399543,1,31,29,34
24,3,2013,20.28452408,15.7503571,1,27,28,23
25,3,2013,29.35480891,5.610146917,1,35,39,37
26,3,2013,22.53557103,16.64269176,1,31,29,35
27,3,2013,27.20767005,13.57292093,1,24,21,23
28,3,2013,28.50617011,6.947107225,1,36,38,40
29,3,2013,21.06551555,4.832264564,1,37,32,36
30,3,2013,26.95543081,7.002554405,1,25,23,22
31,3,2013,26.96839975,0,1,38,33,37
1,4,2013,33.8732928,8.034234026,1,23,21,25
2,4,2013,19.50490617,7.607496462,1,23,24,21
3,4,2013,27.87426181,4.481817645,1,28,24,27
4,4,2013,29.58877373,13.67103275,1,24,28,26
5,4,2013,15.8693961,3.545071094,1,29,26,24
6,4,2013,16.92819276,2.733674161,1,22,26,21
7,4,2013,22.25250727,4.507146362,1,24,23,23
8,4,2013,31.94237,13.87162551,1,26,30,29
9,4,2013,28.35109096,12.50674822,1,36,32,38
10,4,2013,27.17403979,12.7004723,1,32,30,35
11,4,2013,28.2616806,10.67857099,1,30,27,30
12,4,2013,35.77681394,7.047851079,1,32,31,33
13,4,2013,28.32351985,10.2904444,1,35,39,32
14,4,2013,22.05385507,7.757674969,1,26,28,29
15,4,2013,27.86319024,10.70212955,1,21,20,24
16,4,2013,28.91045367,6.140556506,1,39,43,42
17,4,2013,24.23606103,12.64322774,1,39,38,34
18,4,2013,17.88602546,19.61162378,1,32,28,27
19,4,2013,32.57574995,9.593731498,1,27,24,23
20,4,2013,27.5721193,10.67389616,1,32,34,27
21,4,2013,38.08033129,8.725575466,1,34,31,34
22,4,2013,24.33451551,7.386159197,1,25,23,28
23,4,2013,21.22268637,3.993992405,1,32,36,30
24,4,2013,28.92350608,10.51259143,1,29,31,24
25,4,2013,26.8464869,10.06436174,1,25,26,24
26,4,2013,21.72000949,11.64843021,1,35,36,32
27,4,2013,24.93462661,5.093113102,1,34,31,30
28,4,2013,26.03635373,11.53866287,1,27,25,31
29,4,2013,26.55590272,11.49880742,1,28,29,31
30,4,2013,26.59715917,9.311103929,1,36,31,40
31,4,2013,29.44287673,1.736784813,1,33,36,32
1,5,2013,23.90108032,11.09865966,2,55,50,51
2,5,2013,37.00439525,12.5590741,1,25,27,26
3,5,2013,27.83046969,12.73378072,1,31,32,27
4,5,2013,27.90417777,10.32966912,1,39,39,36
5,5,2013,21.08816517,13.12559328,1,23,27,21
6,5,2013,23.64214325,11.43101917,1,39,40,34
7,5,2013,21.19010318,0.9253623245,1,27,27,26
8,5,2013,22.14216957,10.15671005,1,26,23,26
9,5,2013,30.72631087,11.73247221,1,33,35,31
10,5,2013,23.57034627,10.92544678,1,28,24,31
11,5,2013,14.55749722,18.48587611,1,35,39,37
12,5,2013,17.54867306,17.48069818,1,34,31,37
13,5,2013,23.27452117,10.05196466,1,21,18,25
14,5,2013,28.55682897,8.266489215,1,38,38,41
15,5,2013,28.1125957,6.844040291,1,29,30,26
16,5,2013,19.0775585,7.464246458,1,34,33,34
17,5,2013,21.91247472,11.23236971,1,32,29,30
18,5,2013,29.15675529,12.43986341,1,32,29,34
19,5,2013,29.16725349,6.295384841,1,28,24,29
20,5,2013,13.52529132,20.77228571,1,36,31,34
21,5,2013,22.93864123,7.982704083,1,37,41,37
