Food item,Date,Temperature,Precipitation,Day,Month,Special Occasion Category,Qty,Year
2,2018-02-28,24,23.1,28,2,1,45,2018
3,2018-02-28,25,28.9,28,2,1,36,2018
1,2018-03-01,23,26.5,1,3,3,36,2018
2,2018-03-01,24,14.4,1,3,3,24,2018
3,2018-03-01,17,32.5,1,3,3,48,2018
1,2018-03-02,18,12.7,2,3,3,39,2018
2,2018-03-02,22,28.5,2,3,3,32,2018
3,2018-03-02,19,8.4,2,3,3,13,2018
1,2018-03-03,21,24.9,3,3,1,41,2018
2,2018-03-03,28,29.7,3,3,1,20,2018
3,2018-03-03,23,11.0,3,3,1,19,2018
1,2018-03-04,15,2.5,4,3,1,41,2018
2,2018-03-04,17,3.7,4,3,1,7,2018
3,2018-03-04,26,31.2,4,3,1,52,2018
1,2018-03-05,17,16.6,5,3,1,16,2018
2,2018-03-05,19,3.7,5,3,1,12,2018
3,2018-03-05,23,18.5,5,3,1,21,2018
1,2018-03-06,18,31.1,6,3,1,16,2018
2,2018-03-06,23,4.4,6,3,1,42,2018
3,2018-03-06,24,2.6,6,3,1,31,2018
1,2018-03-07,24,14.9,7,3,1,23,2018
2,2018-03-07,27,12.0,7,3,1,18,2018
3,2018-03-07,29,5.4,7,3,1,10,2018
1,2018-03-08,24,20.6,8,3,1,38,2018
2,2018-03-08,21,14.4,8,3,1,40,2018
3,2018-03-08,24,13.5,8,3,1,27,2018
1,2018-03-09,24,5.5,9,3,1,29,2018
2,2018-03-09,19,8.3,9,3,1,8,2018
3,2018-03-09,27,12.7,9,3,1,52,2018
1,2018-03-10,15,31.1,10,3,1,25,2018
2,2018-03-10,27,24.9,10,3,1,6,2018
3,2018-03-10,26,3.5,10,3,1,44,2018
1,2018-03-11,20,23.4,11,3,1,10,2018
2,2018-03-11,24,11.4,11,3,1,3,2018
3,2018-03-11,27,1.2,11,3,1,28,2018
1,2018-03-12,28,2.6,12,3,1,28,2018
2,2018-03-12,22,4.6,12,3,1,41,2018
3,2018-03-12,21,24.7,12,3,1,13,2018
1,2018-03-13,26,31.6,13,3,1,49,2018
2,2018-03-13,23,28.6,13,3,1,38,2018
3,2018-03-13,19,31.6,13,3,1,44,2018
1,2018-03-14,27,31.8,14,3,1,47,2018
2,2018-03-14,19,2.2,14,3,1,21,2018
3,2018-03-14,25,30.2,14,3,1,36,2018
1,2018-03-15,17,23.1,15,3,1,18,2018
2,2018-03-15,29,20.9,15,3,1,14,2018
3,2018-03-15,29,15.3,15,3,1,3,2018
1,2018-03-16,21,2.3,16,3,1,12,2018
2,2018-03-16,24,31.2,16,3,1,8,2018
3,2018-03-16,20,15.4,16,3,1,28,2018
1,2018-03-17,19,9.7,17,3,1,28,2018
2,2018-03-17,18,15.6,17,3,1,50,2018
3,2018-03-17,26,3.3,17,3,1,41,2018
1,2018-03-18,18,32.4,18,3,3,17,2018
2,2018-03-18,23,10.7,18,3,3,20,2018
3,2018-03-18,27,22.7,18,3,3,29,2018
1,2018-03-19,27,29.9,19,3,1,6,2018
2,2018-03-19,16,14.1,19,3,1,5,2018
3,2018-03-19,29,30.2,19,3,1,10,2018
1,2018-03-20,22,28.9,20,3,1,45,2018
2,2018-03-20,19,1.6,20,3,1,33,2018
3,2018-03-20,20,26.7,20,3,1,32,2018
1,2018-03-21,29,5.6,21,3,1,21,2018
2,2018-03-21,24,13.0,21,3,1,22,2018
3,2018-03-21,25,27.7,21,3,1,13,2018
1,2018-03-22,15,15.8,22,3,1,35,2018
2,2018-03-22,29,9.5,22,3,1,48,2018
3,2018-03-22,21,28.5,22,3,1,17,2018
1,2018-03-23,19,32.8,23,3,1,38,2018
2,2018-03-23,17,18.6,23,3,1,37,2018
3,2018-03-23,19,31.0,23,3,1,10,2018
1,2018-03-24,17,8.7,24,3,1,14,2018
2,2018-03-24,23,4.9,24,3,1,51,2018
3,2018-03-24,27,20.2,24,3,1,1,2018
1,2018-03-25,15,25.0,25,3,3,34,2018
2,2018-03-25,26,9.4,25,3,3,39,2018
3,2018-03-25,24,16.7,25,3,3,3,2018
1,2018-03-26,25,10.6,26,3,1,1,2018
2,2018-03-26,20,31.8,26,3,1,30,2018
3,2018-03-26,28,26.1,26,3,1,17,2018
1,2018-03-27,29,1.7,27,3,1,15,2018
2,2018-03-27,19,20.6,27,3,1,2,2018
3,2018-03-27,25,7.6,27,3,1,38,2018
1,2018-03-28,26,32.2,28,3,1,50,2018
2,2018-03-28,16,21.2,28,3,1,15,2018
3,2018-03-28,25,3.7,28,3,1,34,2018
1,2018-03-29,18,18.3,29,3,2,33,2018
2,2018-03-29,22,29.9,29,3,2,30,2018
3,2018-03-29,21,17.6,29,3,2,17,2018
1,2018-03-30,19,26.3,30,3,5,10,2018
2,2018-03-30,22,27.7,30,3,5,17,2018
3,2018-03-30,26,2.9,30,3,5,5,2018
1,2018-03-31,16,20.7,31,3,1,2,2018
2,2018-03-31,27,7.5,31,3,1,43,2018
3,2018-03-31,25,3.2,31,3,1,23,2018
1,2018-04-01,21,19.5,1,4,5,11,2018
2,2018-04-01,20,23.1,1,4,5,4,2018
3,2018-04-01,22,23.1,1,4,5,25,2018
1,2018-04-02,17,28.8,2,4,1,27,2018
2,2018-04-02,27,31.9,2,4,1,51,2018
3,2018-04-02,17,27.1,2,4,1,18,2018
1,2018-04-03,26,11.9,3,4,1,22,2018
2,2018-04-03,19,18.4,3,4,1,5,2018
3,2018-04-03,23,12.2,3,4,1,46,2018
1,2018-04-04,16,4.9,4,4,1,26,2018
2,2018-04-04,27,11.1,4,4,1,26,2018
3,2018-04-04,23,16.2,4,4,1,22,2018
1,2018-04-05,29,17.2,5,4,1,43,2018
2,2018-04-05,29,12.9,5,4,1,17,2018
3,2018-04-05,24,28.6,5,4,1,8,2018
1,2018-04-06,15,19.9,6,4,1,52,2018
2,2018-04-06,29,18.0,6,4,1,22,2018
3,2018-04-06,28,20.6,6,4,1,23,2018
1,2018-04-07,28,15.6,7,4,1,45,2018
2,2018-04-07,24,2.0,7,4,1,51,2018
3,2018-04-07,21,22.8,7,4,1,23,2018
1,2018-04-08,28,24.8,8,4,1,45,2018
2,2018-04-08,16,15.1,8,4,1,35,2018
3,2018-04-08,17,8.6,8,4,1,25,2018
1,2018-04-09,21,12.9,9,4,1,10,2018
2,2018-04-09,21,11.1,9,4,1,39,2018
3,2018-04-09,20,11.3,9,4,1,44,2018
1,2018-04-10,23,29.3,10,4,1,20,2018
2,2018-04-10,23,22.5,10,4,1,3,2018
3,2018-04-10,23,16.8,10,4,1,47,2018
1,2018-04-11,18,18.0,11,4,1,34,2018
2,2018-04-11,29,24.7,11,4,1,49,2018
3,2018-04-11,26,4.9,11,4,1,41,2018
1,2018-04-12,19,12.4,12,4,1,26,2018
2,2018-04-12,16,8.6,12,4,1,45,2018
3,2018-04-12,20,20.2,12,4,1,33,2018
1,2018-04-13,19,4.1,13,4,1,6,2018
2,2018-04-13,20,8.7,13,4,1,4,2018
3,2018-04-13,28,6.8,13,4,1,30,2018
1,2018-04-14,29,2.6,14,4,3,9,2018
2,2018-04-14,21,2.5,14,4,3,31,2018
3,2018-04-14,22,23.1,14,4,3,24,2018
1,2018-04-15,29,29.5,15,4,3,20,2018
2,2018-04-15,26,30.2,15,4,3,15,2018
3,2018-04-15,20,32.0,15,4,3,30,2018
1,2018-04-16,22,23.9,16,4,1,2,2018
2,2018-04-16,29,17.9,16,4,1,26,2018
3,2018-04-16,17,27.6,16,4,1,5,2018
1,2018-04-17,20,31.8,17,4,1,4,2018
2,2018-04-17,17,7.2,17,4,1,20,2018
3,2018-04-17,15,17.8,17,4,1,1,2018
1,2018-04-18,24,25.4,18,4,1,38,2018
2,2018-04-18,19,17.0,18,4,1,36,2018
3,2018-04-18,27,17.8,18,4,1,33,2018
1,2018-04-19,20,11.6,19,4,1,10,2018
2,2018-04-19,19,2.8,19,4,1,44,2018
3,2018-04-19,16,11.1,19,4,1,2,2018
1,2018-04-20,18,8.9,20,4,1,37,2018
2,2018-04-20,23,25.1,20,4,1,11,2018
3,2018-04-20,29,15.9,20,4,1,35,2018
1,2018-04-21,28,4.2,21,4,1,5,2018
2,2018-04-21,28,24.7,21,4,1,50,2018
3,2018-04-21,28,30.7,21,4,1,11,2018
1,2018-04-22,23,7.4,22,4,1,35,2018
2,2018-04-22,17,30.4,22,4,1,22,2018
3,2018-04-22,26,27.7,22,4,1,8,2018
1,2018-04-23,25,26.2,23,4,1,14,2018
2,2018-04-23,26,6.0,23,4,1,21,2018
3,2018-04-23,19,26.9,23,4,1,14,2018
1,2018-04-24,24,29.9,24,4,1,25,2018
2,2018-04-24,27,19.6,24,4,1,18,2018
3,2018-04-24,22,15.3,24,4,1,40,2018
1,2018-04-25,28,29.6,25,4,1,38,2018
2,2018-04-25,15,24.7,25,4,1,15,2018
3,2018-04-25,15,8.2,25,4,1,33,2018
1,2018-04-26,29,13.1,26,4,1,14,2018
2,2018-04-26,19,29.8,26,4,1,51,2018
3,2018-04-26,21,4.5,26,4,1,6,2018
1,2018-04-27,17,20.9,27,4,1,8,2018
2,2018-04-27,24,5.3,27,4,1,15,2018
3,2018-04-27,29,20.6,27,4,1,52,2018
1,2018-04-28,28,29.4,28,4,1,36,2018
2,2018-04-28,27,5.7,28,4,1,33,2018
3,2018-04-28,27,8.8,28,4,1,33,2018
1,2018-04-29,28,7.3,29,4,1,2,2018
2,2018-04-29,24,16.6,29,4,1,10,2018
3,2018-04-29,15,4.1,29,4,1,13,2018
1,2018-04-30,29,12.9,30,4,3,45,2018
2,2018-04-30,22,20.1,30,4,3,15,2018
3,2018-04-30,27,18.1,30,4,3,29,2018
1,2018-05-01,29,13.9,1,5,1,45,2018
2,2018-05-01,16,1.2,1,5,1,51,2018
3,2018-05-01,17,18.9,1,5,1,26,2018
1,2018-05-02,25,20.0,2,5,1,20,2018
2,2018-05-02,25,31.5,2,5,1,40,2018
3,2018-05-02,20,8.1,2,5,1,23,2018
1,2018-05-03,29,10.0,3,5,1,43,2018
2,2018-05-03,26,30.0,3,5,1,40,2018
3,2018-05-03,28,4.0,3,5,1,33,2018
1,2018-05-04,29,24.0,4,5,1,43,2018
2,2018-05-04,26,4.1,4,5,1,48,2018
3,2018-05-04,18,26.1,4,5,1,37,2018
1,2018-05-05,22,21.6,5,5,1,49,2018
2,2018-05-05,26,12.8,5,5,1,9,2018
3,2018-05-05,20,3.3,5,5,1,14,2018
1,2018-05-06,22,27.7,6,5,1,11,2018
2,2018-05-06,21,4.7,6,5,1,37,2018
3,2018-05-06,19,6.1,6,5,1,36,2018
1,2018-05-07,20,27.6,7,5,1,1,2018
2,2018-05-07,29,10.8,7,5,1,51,2018
3,2018-05-07,22,20.3,7,5,1,47,2018
1,2018-05-08,23,24.6,8,5,1,10,2018
2,2018-05-08,18,26.0,8,5,1,26,2018
3,2018-05-08,23,4.5,8,5,1,52,2018
1,2018-05-09,23,28.4,9,5,3,38,2018
2,2018-05-09,16,15.7,9,5,3,27,2018
3,2018-05-09,16,30.2,9,5,3,43,2018
1,2018-05-10,25,15.3,10,5,1,51,2018
2,2018-05-10,20,6.4,10,5,1,7,2018
3,2018-05-10,18,14.2,10,5,1,24,2018
1,2018-05-11,15,12.4,11,5,1,43,2018
2,2018-05-11,20,7.8,11,5,1,50,2018
3,2018-05-11,19,17.3,11,5,1,17,2018
1,2018-05-12,18,15.5,12,5,1,20,2018
2,2018-05-12,20,28.3,12,5,1,40,2018
3,2018-05-12,15,10.4,12,5,1,32,2018
1,2018-05-13,27,13.5,13,5,1,51,2018
2,2018-05-13,25,26.4,13,5,1,32,2018
3,2018-05-13,28,6.9,13,5,1,45,2018
1,2018-05-14,27,15.9,14,5,1,40,2018
2,2018-05-14,17,2.9,14,5,1,14,2018
3,2018-05-14,17,15.3,14,5,1,2,2018
1,2018-05-15,20,14.9,15,5,1,50,2018
2,2018-05-15,28,18.7,15,5,1,4,2018
3,2018-05-15,15,11.5,15,5,1,39,2018
1,2018-05-16,17,12.7,16,5,1,10,2018
2,2018-05-16,17,21.4,16,5,1,33,2018
3,2018-05-16,21,32.1,16,5,1,32,2018
1,2018-05-17,16,28.5,17,5,1,8,2018
2,2018-05-17,15,18.5,17,5,1,3,2018
3,2018-05-17,22,7.1,17,5,1,8,2018
1,2018-05-18,20,11.7,18,5,1,37,2018
2,2018-05-18,17,29.2,18,5,1,28,2018
3,2018-05-18,29,23.9,18,5,1,35,2018
1,2018-05-19,22,23.9,19,5,1,46,2018
2,2018-05-19,25,31.6,19,5,1,52,2018
3,2018-05-19,19,5.3,19,5,1,14,2018
1,2018-05-20,29,11.2,20,5,1,18,2018
2,2018-05-20,21,21.1,20,5,1,33,2018
3,2018-05-20,21,27.9,20,5,1,48,2018
1,2018-05-21,27,28.8,21,5,1,29,2018
2,2018-05-21,26,23.3,21,5,1,1,2018
3,2018-05-21,29,20.8,21,5,1,11,2018
1,2018-05-22,24,27.2,22,5,1,3,2018
2,2018-05-22,21,1.9,22,5,1,20,2018
3,2018-05-22,19,11.8,22,5,1,30,2018
1,2018-05-23,23,14.8,23,5,1,44,2018
2,2018-05-23,17,31.2,23,5,1,22,2018
3,2018-05-23,26,5.3,23,5,1,10,2018
1,2018-05-24,28,16.4,24,5,1,46,2018
2,2018-05-24,21,26.4,24,5,1,17,2018
3,2018-05-24,16,1.5,24,5,1,14,2018
1,2018-05-25,23,18.1,25,5,1,45,2018
2,2018-05-25,23,9.1,25,5,1,22,2018
3,2018-05-25,25,14.3,25,5,1,26,2018
1,2018-05-26,24,29.6,26,5,1,34,2018
2,2018-05-26,21,22.7,26,5,1,6,2018
3,2018-05-26,16,17.7,26,5,1,42,2018
1,2018-05-27,18,16.7,27,5,1,34,2018
2,2018-05-27,15,13.8,27,5,1,38,2018
3,2018-05-27,24,23.8,27,5,1,42,2018
1,2018-05-28,20,5.2,28,5,1,31,2018
2,2018-05-28,20,24.2,28,5,1,34,2018
3,2018-05-28,26,21.1,28,5,1,7,2018
1,2018-05-29,24,30.1,29,5,1,26,2018
2,2018-05-29,19,13.1,29,5,1,46,2018
3,2018-05-29,16,6.1,29,5,1,43,2018
1,2018-05-30,15,3.4,30,5,1,36,2018
2,2018-05-30,17,8.7,30,5,1,21,2018
3,2018-05-30,25,10.0,30,5,1,36,2018
1,2018-05-31,15,23.9,31,5,1,40,2018
2,2018-05-31,17,31.2,31,5,1,47,2018
3,2018-05-31,22,30.8,31,5,1,5,2018
1,2018-06-01,22,7.7,1,6,1,36,2018
2,2018-06-01,29,9.2,1,6,1,35,2018
3,2018-06-01,18,2.4,1,6,1,45,2018
1,2018-06-02,25,11.5,2,6,1,26,2018
2,2018-06-02,16,4.2,2,6,1,9,2018
3,2018-06-02,22,24.1,2,6,1,25,2018
1,2018-06-03,27,22.8,3,6,1,42,2018
2,2018-06-03,23,8.7,3,6,1,3,2018
3,2018-06-03,16,26.4,3,6,1,44,2018
1,2018-06-04,17,9.5,4,6,1,34,2018
2,2018-06-04,26,12.4,4,6,1,44,2018
3,2018-06-04,25,30.2,4,6,1,17,2018
1,2018-06-05,24,22.9,5,6,1,49,2018
2,2018-06-05,29,3.6,5,6,1,16,2018
3,2018-06-05,22,25.1,5,6,1,31,2018
1,2018-06-06,19,25.1,6,6,1,37,2018
2,2018-06-06,20,21.2,6,6,1,8,2018
3,2018-06-06,23,29.7,6,6,1,12,2018
1,2018-06-07,29,23.0,7,6,1,41,2018
2,2018-06-07,27,22.2,7,6,1,32,2018
3,2018-06-07,24,19.6,7,6,1,17,2018
1,2018-06-08,21,18.6,8,6,1,22,2018
2,2018-06-08,24,10.8,8,6,1,15,2018
3,2018-06-08,19,24.2,8,6,1,51,2018
1,2018-06-09,22,31.9,9,6,1,23,2018
2,2018-06-09,27,16.0,9,6,1,30,2018
3,2018-06-09,18,27.8,9,6,1,18,2018
1,2018-06-10,25,27.3,10,6,1,17,2018
2,2018-06-10,28,19.9,10,6,1,35,2018
3,2018-06-10,26,4.7,10,6,1,34,2018
1,2018-06-11,17,23.1,11,6,1,40,2018
2,2018-06-11,24,24.0,11,6,1,44,2018
3,2018-06-11,21,10.9,11,6,1,49,2018
1,2018-06-12,18,26.1,12,6,1,25,2018
2,2018-06-12,27,20.8,12,6,1,16,2018
3,2018-06-12,27,20.5,12,6,1,2,2018
1,2018-06-13,21,15.6,13,6,1,34,2018
2,2018-06-13,28,0.8,13,6,1,13,2018
3,2018-06-13,27,13.1,13,6,1,32,2018
1,2018-06-14,17,3.0,14,6,1,46,2018
2,2018-06-14,18,2.5,14,6,1,49,2018
3,2018-06-14,27,2.0,14,6,1,44,2018
1,2018-06-15,23,19.4,15,6,4,44,2018
2,2018-06-15,29,13.5,15,6,4,30,2018
3,2018-06-15,23,11.6,15,6,4,20,2018
1,2018-06-16,19,24.2,16,6,4,49,2018
2,2018-06-16,17,15.8,16,6,4,30,2018
3,2018-06-16,16,10.3,16,6,4,37,2018
1,2018-06-17,23,9.7,17,6,1,46,2018
2,2018-06-17,29,14.5,17,6,1,49,2018
3,2018-06-17,23,22.5,17,6,1,12,2018
1,2018-06-18,25,31.2,18,6,1,37,2018
2,2018-06-18,25,19.6,18,6,1,39,2018
3,2018-06-18,22,29.1,18,6,1,24,2018
1,2018-06-19,25,29.7,19,6,1,34,2018
2,2018-06-19,23,24.6,19,6,1,4,2018
3,2018-06-19,25,13.7,19,6,1,29,2018
1,2018-06-20,29,8.2,20,6,1,51,2018
2,2018-06-20,27,4.7,20,6,1,43,2018
3,2018-06-20,16,13.1,20,6,1,41,2018
1,2018-06-21,15,31.4,21,6,1,6,2018
2,2018-06-21,19,2.7,21,6,1,47,2018
3,2018-06-21,21,29.1,21,6,1,35,2018
1,2018-06-22,18,32.6,22,6,1,42,2018
2,2018-06-22,17,25.1,22,6,1,17,2018
3,2018-06-22,22,29.5,22,6,1,35,2018
1,2018-06-23,20,20.7,23,6,1,47,2018
2,2018-06-23,23,19.8,23,6,1,14,2018
3,2018-06-23,19,3.7,23,6,1,41,2018
1,2018-06-24,22,9.3,24,6,1,28,2018
2,2018-06-24,27,29.2,24,6,1,25,2018
3,2018-06-24,16,28.4,24,6,1,9,2018
1,2018-06-25,29,21.8,25,6,1,5,2018
2,2018-06-25,25,3.6,25,6,1,24,2018
3,2018-06-25,26,12.7,25,6,1,8,2018
1,2018-06-26,25,23.9,26,6,1,26,2018
2,2018-06-26,16,3.4,26,6,1,48,2018
3,2018-06-26,27,29.4,26,6,1,13,2018
1,2018-06-27,15,2.8,27,6,1,45,2018
2,2018-06-27,28,19.8,27,6,1,3,2018
3,2018-06-27,22,22.0,27,6,1,40,2018
1,2018-06-28,25,28.5,28,6,1,33,2018
