Date,Week,Food_Item_1,Food_Item_2,Food_Item_3,Food_Item_4,Food_Item_5,Event,Inventory_Status
2013-02-01,5,Food_Item_1:75,Food_Item_2:58,Food_Item_3:47,Food_Item_4:33,Food_Item_5:79,None,Correct
2013-02-02,5,Food_Item_1:32,Food_Item_2:65,Food_Item_3:39,Food_Item_4:45,Food_Item_5:62,Seasonal,Correct
2013-02-03,5,Food_Item_1:53,Food_Item_2:48,Food_Item_3:27,Food_Item_4:35,Food_Item_5:34,None,Underflow
2013-02-04,6,Food_Item_1:55,Food_Item_2:34,Food_Item_3:57,Food_Item_4:34,Food_Item_5:20,None,Correct
2013-02-05,6,Food_Item_1:34,Food_Item_2:24,Food_Item_3:77,Food_Item_4:22,Food_Item_5:75,None,Correct
2013-02-06,6,Food_Item_1:37,Food_Item_2:62,Food_Item_3:51,Food_Item_4:33,Food_Item_5:54,None,Overflow
2013-02-07,6,Food_Item_1:56,Food_Item_2:56,Food_Item_3:50,Food_Item_4:35,Food_Item_5:70,None,Correct
2013-02-08,6,Food_Item_1:26,Food_Item_2:26,Food_Item_3:62,Food_Item_4:47,Food_Item_5:42,None,Correct
2013-02-09,6,Food_Item_1:66,Food_Item_2:23,Food_Item_3:63,Food_Item_4:61,Food_Item_5:61,None,Correct
2013-02-10,6,Food_Item_1:41,Food_Item_2:71,Food_Item_3:75,Food_Item_4:26,Food_Item_5:35,None,Correct
2013-02-11,7,Food_Item_1:28,Food_Item_2:47,Food_Item_3:31,Food_Item_4:37,Food_Item_5:49,None,Overflow
2013-02-12,7,Food_Item_1:48,Food_Item_2:71,Food_Item_3:75,Food_Item_4:74,Food_Item_5:55,None,Correct
2013-02-13,7,Food_Item_1:54,Food_Item_2:73,Food_Item_3:20,Food_Item_4:25,Food_Item_5:79,Special_Event,Correct
2013-02-14,7,Food_Item_1:46,Food_Item_2:51,Food_Item_3:50,Food_Item_4:33,Food_Item_5:75,None,Underflow
2013-02-15,7,Food_Item_1:44,Food_Item_2:20,Food_Item_3:44,Food_Item_4:36,Food_Item_5:79,Special_Event,Correct
2013-02-16,7,Food_Item_1:47,Food_Item_2:64,Food_Item_3:66,Food_Item_4:70,Food_Item_5:55,Seasonal,Correct
2013-02-17,7,Food_Item_1:32,Food_Item_2:38,Food_Item_3:33,Food_Item_4:23,Food_Item_5:57,Special_Event,Underflow
2013-02-18,8,Food_Item_1:40,Food_Item_2:23,Food_Item_3:23,Food_Item_4:57,Food_Item_5:50,None,Overflow
2013-02-19,8,Food_Item_1:30,Food_Item_2:23,Food_Item_3:52,Food_Item_4:25,Food_Item_5:74,None,Correct
2013-02-20,8,Food_Item_1:63,Food_Item_2:75,Food_Item_3:35,Food_Item_4:45,Food_Item_5:27,Christmas,Correct
2013-02-21,8,Food_Item_1:57,Food_Item_2:58,Food_Item_3:22,Food_Item_4:59,Food_Item_5:25,None,Correct
2013-02-22,8,Food_Item_1:53,Food_Item_2:40,Food_Item_3:79,Food_Item_4:36,Food_Item_5:33,Seasonal,Correct
2013-02-23,8,Food_Item_1:36,Food_Item_2:45,Food_Item_3:28,Food_Item_4:62,Food_Item_5:61,None,Correct
2013-02-24,8,Food_Item_1:68,Food_Item_2:79,Food_Item_3:24,Food_Item_4:20,Food_Item_5:49,Seasonal,Correct
2013-02-25,9,Food_Item_1:26,Food_Item_2:24,Food_Item_3:54,Food_Item_4:33,Food_Item_5:52,None,Overflow
2013-02-26,9,Food_Item_1:76,Food_Item_2:24,Food_Item_3:76,Food_Item_4:35,Food_Item_5:43,None,Correct
2013-02-27,9,Food_Item_1:54,Food_Item_2:65,Food_Item_3:39,Food_Item_4:59,Food_Item_5:71,Seasonal,Underflow
2013-02-28,9,Food_Item_1:72,Food_Item_2:55,Food_Item_3:39,Food_Item_4:79,Food_Item_5:62,None,Overflow
2013-03-01,9,Food_Item_1:36,Food_Item_2:27,Food_Item_3:76,Food_Item_4:26,Food_Item_5:67,None,Correct
2013-03-02,9,Food_Item_1:58,Food_Item_2:33,Food_Item_3:65,Food_Item_4:41,Food_Item_5:33,Seasonal,Overflow
2013-03-03,9,Food_Item_1:52,Food_Item_2:51,Food_Item_3:36,Food_Item_4:77,Food_Item_5:78,Valentine's_Day,Underflow
2013-03-04,10,Food_Item_1:47,Food_Item_2:73,Food_Item_3:37,Food_Item_4:22,Food_Item_5:20,None,Correct
2013-03-05,10,Food_Item_1:36,Food_Item_2:30,Food_Item_3:67,Food_Item_4:48,Food_Item_5:55,Special_Event,Correct
2013-03-06,10,Food_Item_1:27,Food_Item_2:24,Food_Item_3:80,Food_Item_4:76,Food_Item_5:64,Christmas,Correct
2013-03-07,10,Food_Item_1:73,Food_Item_2:43,Food_Item_3:57,Food_Item_4:55,Food_Item_5:29,None,Underflow
2013-03-08,10,Food_Item_1:43,Food_Item_2:77,Food_Item_3:79,Food_Item_4:70,Food_Item_5:75,None,Correct
2013-03-09,10,Food_Item_1:63,Food_Item_2:35,Food_Item_3:62,Food_Item_4:26,Food_Item_5:42,Special_Event,Overflow
2013-03-10,10,Food_Item_1:46,Food_Item_2:59,Food_Item_3:67,Food_Item_4:29,Food_Item_5:79,Christmas,Overflow
2013-03-11,11,Food_Item_1:71,Food_Item_2:71,Food_Item_3:31,Food_Item_4:76,Food_Item_5:46,None,Correct
2013-03-12,11,Food_Item_1:41,Food_Item_2:70,Food_Item_3:79,Food_Item_4:46,Food_Item_5:71,Seasonal,Correct
2013-03-13,11,Food_Item_1:35,Food_Item_2:37,Food_Item_3:30,Food_Item_4:70,Food_Item_5:64,None,Overflow
2013-03-14,11,Food_Item_1:74,Food_Item_2:50,Food_Item_3:34,Food_Item_4:32,Food_Item_5:72,Christmas,Correct
2013-03-15,11,Food_Item_1:72,Food_Item_2:70,Food_Item_3:75,Food_Item_4:34,Food_Item_5:34,None,Correct
2013-03-16,11,Food_Item_1:41,Food_Item_2:37,Food_Item_3:75,Food_Item_4:24,Food_Item_5:69,None,Correct
2013-03-17,11,Food_Item_1:45,Food_Item_2:63,Food_Item_3:73,Food_Item_4:54,Food_Item_5:41,Christmas,Correct
2013-03-18,12,Food_Item_1:36,Food_Item_2:31,Food_Item_3:57,Food_Item_4:36,Food_Item_5:22,None,Correct
2013-03-19,12,Food_Item_1:66,Food_Item_2:70,Food_Item_3:40,Food_Item_4:47,Food_Item_5:58,Christmas,Correct
2013-03-20,12,Food_Item_1:77,Food_Item_2:56,Food_Item_3:32,Food_Item_4:36,Food_Item_5:22,Special_Event,Underflow
2013-03-21,12,Food_Item_1:79,Food_Item_2:71,Food_Item_3:54,Food_Item_4:63,Food_Item_5:66,Christmas,Correct
2013-03-22,12,Food_Item_1:32,Food_Item_2:43,Food_Item_3:47,Food_Item_4:24,Food_Item_5:80,Seasonal,Correct
2013-03-23,12,Food_Item_1:40,Food_Item_2:62,Food_Item_3:74,Food_Item_4:27,Food_Item_5:66,Christmas,Correct
2013-03-24,12,Food_Item_1:62,Food_Item_2:46,Food_Item_3:40,Food_Item_4:45,Food_Item_5:64,None,Correct
2013-03-25,13,Food_Item_1:46,Food_Item_2:62,Food_Item_3:80,Food_Item_4:44,Food_Item_5:63,Special_Event,Correct
2013-03-26,13,Food_Item_1:56,Food_Item_2:39,Food_Item_3:45,Food_Item_4:55,Food_Item_5:73,None,Correct
2013-03-27,13,Food_Item_1:47,Food_Item_2:70,Food_Item_3:57,Food_Item_4:58,Food_Item_5:61,None,Correct
2013-03-28,13,Food_Item_1:63,Food_Item_2:33,Food_Item_3:52,Food_Item_4:50,Food_Item_5:70,Christmas,Correct
2013-03-29,13,Food_Item_1:30,Food_Item_2:62,Food_Item_3:25,Food_Item_4:38,Food_Item_5:52,Seasonal,Correct
2013-03-30,13,Food_Item_1:25,Food_Item_2:72,Food_Item_3:80,Food_Item_4:68,Food_Item_5:35,Seasonal,Correct
2013-03-31,13,Food_Item_1:32,Food_Item_2:29,Food_Item_3:21,Food_Item_4:22,Food_Item_5:35,Christmas,Correct
2013-04-01,14,Food_Item_1:69,Food_Item_2:24,Food_Item_3:49,Food_Item_4:46,Food_Item_5:76,Seasonal,Correct
2013-04-02,14,Food_Item_1:64,Food_Item_2:44,Food_Item_3:51,Food_Item_4:45,Food_Item_5:35,None,Correct
2013-04-03,14,Food_Item_1:77,Food_Item_2:68,Food_Item_3:75,Food_Item_4:69,Food_Item_5:76,None,Correct
2013-04-04,14,Food_Item_1:31,Food_Item_2:71,Food_Item_3:64,Food_Item_4:53,Food_Item_5:49,None,Correct
2013-04-05,14,Food_Item_1:74,Food_Item_2:27,Food_Item_3:49,Food_Item_4:28,Food_Item_5:71,None,Correct
2013-04-06,14,Food_Item_1:55,Food_Item_2:58,Food_Item_3:40,Food_Item_4:80,Food_Item_5:68,Valentine's_Day,Correct
2013-04-07,14,Food_Item_1:66,Food_Item_2:77,Food_Item_3:52,Food_Item_4:47,Food_Item_5:73,Christmas,Correct
2013-04-08,15,Food_Item_1:30,Food_Item_2:67,Food_Item_3:75,Food_Item_4:50,Food_Item_5:48,None,Correct
2013-04-09,15,Food_Item_1:60,Food_Item_2:37,Food_Item_3:69,Food_Item_4:69,Food_Item_5:53,None,Correct
2013-04-10,15,Food_Item_1:48,Food_Item_2:24,Food_Item_3:65,Food_Item_4:38,Food_Item_5:35,None,Correct
2013-04-11,15,Food_Item_1:54,Food_Item_2:25,Food_Item_3:28,Food_Item_4:29,Food_Item_5:34,None,Correct
2013-04-12,15,Food_Item_1:33,Food_Item_2:24,Food_Item_3:46,Food_Item_4:46,Food_Item_5:41,None,Correct
2013-04-13,15,Food_Item_1:33,Food_Item_2:73,Food_Item_3:46,Food_Item_4:44,Food_Item_5:77,Special_Event,Overflow
2013-04-14,15,Food_Item_1:21,Food_Item_2:74,Food_Item_3:76,Food_Item_4:68,Food_Item_5:56,None,Underflow
2013-04-15,16,Food_Item_1:42,Food_Item_2:39,Food_Item_3:68,Food_Item_4:44,Food_Item_5:74,Valentine's_Day,Overflow
2013-04-16,16,Food_Item_1:54,Food_Item_2:67,Food_Item_3:67,Food_Item_4:54,Food_Item_5:71,Seasonal,Correct
2013-04-17,16,Food_Item_1:34,Food_Item_2:37,Food_Item_3:47,Food_Item_4:51,Food_Item_5:21,None,Correct
2013-04-18,16,Food_Item_1:71,Food_Item_2:45,Food_Item_3:66,Food_Item_4:30,Food_Item_5:73,None,Correct
2013-04-19,16,Food_Item_1:59,Food_Item_2:54,Food_Item_3:21,Food_Item_4:78,Food_Item_5:45,None,Correct
2013-04-20,16,Food_Item_1:25,Food_Item_2:61,Food_Item_3:47,Food_Item_4:28,Food_Item_5:75,None,Underflow
2013-04-21,16,Food_Item_1:44,Food_Item_2:40,Food_Item_3:33,Food_Item_4:49,Food_Item_5:40,None,Overflow
2013-04-22,17,Food_Item_1:37,Food_Item_2:68,Food_Item_3:80,Food_Item_4:73,Food_Item_5:46,None,Underflow
2013-04-23,17,Food_Item_1:21,Food_Item_2:67,Food_Item_3:54,Food_Item_4:23,Food_Item_5:80,None,Correct
2013-04-24,17,Food_Item_1:69,Food_Item_2:61,Food_Item_3:22,Food_Item_4:68,Food_Item_5:21,Christmas,Correct
2013-04-25,17,Food_Item_1:21,Food_Item_2:59,Food_Item_3:29,Food_Item_4:35,Food_Item_5:28,None,Correct
2013-04-26,17,Food_Item_1:80,Food_Item_2:33,Food_Item_3:49,Food_Item_4:64,Food_Item_5:36,Special_Event,Correct
2013-04-27,17,Food_Item_1:58,Food_Item_2:67,Food_Item_3:65,Food_Item_4:27,Food_Item_5:69,Valentine's_Day,Overflow
2013-04-28,17,Food_Item_1:26,Food_Item_2:57,Food_Item_3:21,Food_Item_4:79,Food_Item_5:39,None,Overflow
2013-04-29,18,Food_Item_1:44,Food_Item_2:45,Food_Item_3:80,Food_Item_4:65,Food_Item_5:32,None,Correct
2013-04-30,18,Food_Item_1:60,Food_Item_2:35,Food_Item_3:26,Food_Item_4:64,Food_Item_5:69,None,Correct
2013-05-01,18,Food_Item_1:71,Food_Item_2:27,Food_Item_3:70,Food_Item_4:56,Food_Item_5:70,None,Correct
2013-05-02,18,Food_Item_1:62,Food_Item_2:43,Food_Item_3:24,Food_Item_4:52,Food_Item_5:61,None,Overflow
2013-05-03,18,Food_Item_1:72,Food_Item_2:51,Food_Item_3:26,Food_Item_4:47,Food_Item_5:43,Seasonal,Overflow
2013-05-04,18,Food_Item_1:65,Food_Item_2:29,Food_Item_3:47,Food_Item_4:31,Food_Item_5:66,None,Correct
2013-05-05,18,Food_Item_1:59,Food_Item_2:71,Food_Item_3:78,Food_Item_4:54,Food_Item_5:69,None,Correct
2013-05-06,19,Food_Item_1:66,Food_Item_2:57,Food_Item_3:37,Food_Item_4:40,Food_Item_5:74,None,Overflow
2013-05-07,19,Food_Item_1:37,Food_Item_2:76,Food_Item_3:48,Food_Item_4:35,Food_Item_5:68,None,Correct
2013-05-08,19,Food_Item_1:44,Food_Item_2:41,Food_Item_3:21,Food_Item_4:51,Food_Item_5:74,None,Correct
2013-05-09,19,Food_Item_1:42,Food_Item_2:71,Food_Item_3:36,Food_Item_4:41,Food_Item_5:37,Valentine's_Day,Correct
2013-05-10,19,Food_Item_1:37,Food_Item_2:55,Food_Item_3:20,Food_Item_4:53,Food_Item_5:80,None,Correct
2013-05-11,19,Food_Item_1:46,Food_Item_2:51,Food_Item_3:55,Food_Item_4:68,Food_Item_5:35,Seasonal,Correct
2013-05-12,19,Food_Item_1:51,Food_Item_2:48,Food_Item_3:70,Food_Item_4:21,Food_Item_5:25,None,Correct
2013-05-13,20,Food_Item_1:35,Food_Item_2:39,Food_Item_3:62,Food_Item_4:57,Food_Item_5:43,None,Correct
2013-05-14,20,Food_Item_1:47,Food_Item_2:67,Food_Item_3:55,Food_Item_4:41,Food_Item_5:42,Special_Event,Correct
2013-05-15,20,Food_Item_1:36,Food_Item_2:34,Food_Item_3:27,Food_Item_4:66,Food_Item_5:32,None,Correct
2013-05-16,20,Food_Item_1:80,Food_Item_2:68,Food_Item_3:64,Food_Item_4:31,Food_Item_5:32,None,Correct
2013-05-17,20,Food_Item_1:66,Food_Item_2:57,Food_Item_3:68,Food_Item_4:53,Food_Item_5:58,None,Correct
2013-05-18,20,Food_Item_1:32,Food_Item_2:38,Food_Item_3:34,Food_Item_4:43,Food_Item_5:31,None,Correct
2013-05-19,20,Food_Item_1:28,Food_Item_2:37,Food_Item_3:22,Food_Item_4:23,Food_Item_5:55,None,Overflow
2013-05-20,21,Food_Item_1:60,Food_Item_2:75,Food_Item_3:68,Food_Item_4:51,Food_Item_5:26,Valentine's_Day,Correct
2013-05-21,21,Food_Item_1:50,Food_Item_2:50,Food_Item_3:48,Food_Item_4:41,Food_Item_5:31,Christmas,Correct
2013-05-22,21,Food_Item_1:75,Food_Item_2:50,Food_Item_3:27,Food_Item_4:72,Food_Item_5:24,None,Underflow
2013-05-23,21,Food_Item_1:60,Food_Item_2:63,Food_Item_3:23,Food_Item_4:29,Food_Item_5:29,Valentine's_Day,Overflow
2013-05-24,21,Food_Item_1:25,Food_Item_2:35,Food_Item_3:27,Food_Item_4:55,Food_Item_5:68,None,Correct
2013-05-25,21,Food_Item_1:59,Food_Item_2:34,Food_Item_3:69,Food_Item_4:53,Food_Item_5:44,None,Correct
2013-05-26,21,Food_Item_1:75,Food_Item_2:57,Food_Item_3:47,Food_Item_4:39,Food_Item_5:56,Seasonal,Correct
2013-05-27,22,Food_Item_1:67,Food_Item_2:26,Food_Item_3:80,Food_Item_4:68,Food_Item_5:33,Seasonal,Correct
2013-05-28,22,Food_Item_1:25,Food_Item_2:30,Food_Item_3:35,Food_Item_4:31,Food_Item_5:55,None,Underflow
2013-05-29,22,Food_Item_1:48,Food_Item_2:64,Food_Item_3:58,Food_Item_4:50,Food_Item_5:38,None,Correct
2013-05-30,22,Food_Item_1:38,Food_Item_2:64,Food_Item_3:75,Food_Item_4:49,Food_Item_5:24,Seasonal,Overflow
2013-05-31,22,Food_Item_1:70,Food_Item_2:70,Food_Item_3:60,Food_Item_4:57,Food_Item_5:62,Valentine's_Day,Correct
2013-06-01,22,Food_Item_1:27,Food_Item_2:54,Food_Item_3:34,Food_Item_4:61,Food_Item_5:29,Christmas,Overflow
2013-06-02,22,Food_Item_1:24,Food_Item_2:23,Food_Item_3:30,Food_Item_4:70,Food_Item_5:39,None,Overflow
2013-06-03,23,Food_Item_1:78,Food_Item_2:38,Food_Item_3:48,Food_Item_4:27,Food_Item_5:49,Seasonal,Correct
2013-06-04,23,Food_Item_1:80,Food_Item_2:37,Food_Item_3:52,Food_Item_4:54,Food_Item_5:51,None,Correct
2013-06-05,23,Food_Item_1:76,Food_Item_2:47,Food_Item_3:67,Food_Item_4:40,Food_Item_5:58,None,Underflow
2013-06-06,23,Food_Item_1:63,Food_Item_2:73,Food_Item_3:75,Food_Item_4:56,Food_Item_5:57,Christmas,Overflow
2013-06-07,23,Food_Item_1:63,Food_Item_2:72,Food_Item_3:37,Food_Item_4:56,Food_Item_5:22,Special_Event,Correct
2013-06-08,23,Food_Item_1:53,Food_Item_2:61,Food_Item_3:48,Food_Item_4:78,Food_Item_5:37,None,Correct
2013-06-09,23,Food_Item_1:60,Food_Item_2:72,Food_Item_3:51,Food_Item_4:25,Food_Item_5:50,None,Correct
2013-06-10,24,Food_Item_1:62,Food_Item_2:26,Food_Item_3:74,Food_Item_4:30,Food_Item_5:41,None,Correct
2013-06-11,24,Food_Item_1:62,Food_Item_2:80,Food_Item_3:45,Food_Item_4:72,Food_Item_5:68,None,Correct
2013-06-12,24,Food_Item_1:40,Food_Item_2:36,Food_Item_3:40,Food_Item_4:27,Food_Item_5:69,None,Correct
2013-06-13,24,Food_Item_1:20,Food_Item_2:62,Food_Item_3:75,Food_Item_4:54,Food_Item_5:49,None,Correct
2013-06-14,24,Food_Item_1:43,Food_Item_2:59,Food_Item_3:68,Food_Item_4:51,Food_Item_5:60,None,Underflow
2013-06-15,24,Food_Item_1:37,Food_Item_2:55,Food_Item_3:28,Food_Item_4:79,Food_Item_5:38,None,Correct
2013-06-16,24,Food_Item_1:27,Food_Item_2:21,Food_Item_3:60,Food_Item_4:58,Food_Item_5:71,None,Correct
2013-06-17,25,Food_Item_1:55,Food_Item_2:20,Food_Item_3:55,Food_Item_4:46,Food_Item_5:25,None,Overflow
2013-06-18,25,Food_Item_1:27,Food_Item_2:49,Food_Item_3:80,Food_Item_4:27,Food_Item_5:61,Valentine's_Day,Correct
2013-06-19,25,Food_Item_1:65,Food_Item_2:38,Food_Item_3:52,Food_Item_4:65,Food_Item_5:37,None,Correct
2013-06-20,25,Food_Item_1:50,Food_Item_2:35,Food_Item_3:49,Food_Item_4:55,Food_Item_5:29,None,Overflow
2013-06-21,25,Food_Item_1:52,Food_Item_2:67,Food_Item_3:76,Food_Item_4:28,Food_Item_5:75,None,Correct
2013-06-22,25,Food_Item_1:74,Food_Item_2:46,Food_Item_3:41,Food_Item_4:79,Food_Item_5:70,None,Overflow
2013-06-23,25,Food_Item_1:38,Food_Item_2:66,Food_Item_3:39,Food_Item_4:73,Food_Item_5:57,None,Correct
2013-06-24,26,Food_Item_1:75,Food_Item_2:29,Food_Item_3:48,Food_Item_4:54,Food_Item_5:50,None,Correct
2013-06-25,26,Food_Item_1:54,Food_Item_2:44,Food_Item_3:49,Food_Item_4:79,Food_Item_5:40,Valentine's_Day,Overflow
2013-06-26,26,Food_Item_1:35,Food_Item_2:56,Food_Item_3:44,Food_Item_4:34,Food_Item_5:74,Special_Event,Underflow
2013-06-27,26,Food_Item_1:67,Food_Item_2:50,Food_Item_3:65,Food_Item_4:78,Food_Item_5:71,None,Overflow
2013-06-28,26,Food_Item_1:70,Food_Item_2:72,Food_Item_3:61,Food_Item_4:29,Food_Item_5:51,Christmas,Correct
2013-06-29,26,Food_Item_1:57,Food_Item_2:41,Food_Item_3:75,Food_Item_4:26,Food_Item_5:75,Valentine's_Day,Underflow
2013-06-30,26,Food_Item_1:78,Food_Item_2:49,Food_Item_3:20,Food_Item_4:66,Food_Item_5:29,None,Correct
2013-07-01,27,Food_Item_1:29,Food_Item_2:24,Food_Item_3:50,Food_Item_4:70,Food_Item_5:36,None,Correct
2013-07-02,27,Food_Item_1:61,Food_Item_2:25,Food_Item_3:74,Food_Item_4:41,Food_Item_5:74,Seasonal,Correct
2013-07-03,27,Food_Item_1:40,Food_Item_2:60,Food_Item_3:65,Food_Item_4:76,Food_Item_5:68,None,Correct
2013-07-04,27,Food_Item_1:59,Food_Item_2:24,Food_Item_3:35,Food_Item_4:60,Food_Item_5:63,Christmas,Overflow
2013-07-05,27,Food_Item_1:67,Food_Item_2:25,Food_Item_3:47,Food_Item_4:26,Food_Item_5:68,Seasonal,Overflow
2013-07-06,27,Food_Item_1:48,Food_Item_2:30,Food_Item_3:64,Food_Item_4:39,Food_Item_5:77,None,Correct
2013-07-07,27,Food_Item_1:23,Food_Item_2:38,Food_Item_3:42,Food_Item_4:43,Food_Item_5:47,None,Correct
2013-07-08,28,Food_Item_1:56,Food_Item_2:63,Food_Item_3:70,Food_Item_4:31,Food_Item_5:30,None,Correct
2013-07-09,28,Food_Item_1:44,Food_Item_2:59,Food_Item_3:63,Food_Item_4:35,Food_Item_5:51,Christmas,Correct
2013-07-10,28,Food_Item_1:49,Food_Item_2:60,Food_Item_3:36,Food_Item_4:49,Food_Item_5:36,Seasonal,Overflow
2013-07-11,28,Food_Item_1:49,Food_Item_2:77,Food_Item_3:38,Food_Item_4:63,Food_Item_5:54,None,Correct
2013-07-12,28,Food_Item_1:42,Food_Item_2:57,Food_Item_3:39,Food_Item_4:60,Food_Item_5:47,Seasonal,Correct
2013-07-13,28,Food_Item_1:39,Food_Item_2:32,Food_Item_3:44,Food_Item_4:74,Food_Item_5:50,None,Correct
2013-07-14,28,Food_Item_1:42,Food_Item_2:56,Food_Item_3:38,Food_Item_4:64,Food_Item_5:38,None,Overflow
2013-07-15,29,Food_Item_1:45,Food_Item_2:37,Food_Item_3:20,Food_Item_4:56,Food_Item_5:75,Seasonal,Correct
2013-07-16,29,Food_Item_1:23,Food_Item_2:78,Food_Item_3:58,Food_Item_4:67,Food_Item_5:51,Valentine's_Day,Overflow
2013-07-17,29,Food_Item_1:69,Food_Item_2:71,Food_Item_3:34,Food_Item_4:58,Food_Item_5:71,None,Correct
2013-07-18,29,Food_Item_1:59,Food_Item_2:36,Food_Item_3:63,Food_Item_4:68,Food_Item_5:66,Special_Event,Correct
2013-07-19,29,Food_Item_1:28,Food_Item_2:60,Food_Item_3:26,Food_Item_4:77,Food_Item_5:60,Seasonal,Correct
2013-07-20,29,Food_Item_1:48,Food_Item_2:22,Food_Item_3:57,Food_Item_4:43,Food_Item_5:66,None,Overflow
2013-07-21,29,Food_Item_1:40,Food_Item_2:67,Food_Item_3:46,Food_Item_4:31,Food_Item_5:32,None,Correct
2013-07-22,30,Food_Item_1:43,Food_Item_2:53,Food_Item_3:52,Food_Item_4:78,Food_Item_5:37,Valentine's_Day,Correct
2013-07-23,30,Food_Item_1:72,Food_Item_2:80,Food_Item_3:50,Food_Item_4:71,Food_Item_5:38,Special_Event,Correct
2013-07-24,30,Food_Item_1:27,Food_Item_2:49,Food_Item_3:24,Food_Item_4:29,Food_Item_5:68,Christmas,Overflow
2013-07-25,30,Food_Item_1:66,Food_Item_2:63,Food_Item_3:45,Food_Item_4:74,Food_Item_5:71,None,Underflow
2013-07-26,30,Food_Item_1:45,Food_Item_2:20,Food_Item_3:36,Food_Item_4:54,Food_Item_5:27,None,Correct
