Food item,Date,Temperature,Precipitation,Day,Month,Special Occasion Category,Qty
1,2018-01-31,17,23.2,4,1,3,16
2,2018-01-31,17,28.2,4,1,3,33
3,2018-01-31,22,28,4,1,3,49
1,2018-02-01,22,25.9,5,2,1,40
2,2018-02-01,18,19.4,5,2,1,48
3,2018-02-01,28,30.9,5,2,1,25
1,2018-02-02,27,9.9,6,2,1,46
2,2018-02-02,16,16.3,6,2,1,35
3,2018-02-02,27,8,6,2,1,33
1,2018-02-03,18,8.4,7,2,1,21
2,2018-02-03,18,12.5,7,2,1,8
3,2018-02-03,21,23.9,7,2,1,33
1,2018-02-04,26,17.1,1,2,1,22
2,2018-02-04,21,8.8,1,2,1,30
3,2018-02-04,20,32.1,1,2,1,51
1,2018-02-05,20,29.8,2,2,1,27
2,2018-02-05,16,12,2,2,1,33
3,2018-02-05,26,22.2,2,2,1,33
1,2018-02-06,19,8.2,3,2,1,48
2,2018-02-06,17,19.1,3,2,1,49
3,2018-02-06,15,32.6,3,2,1,30
1,2018-02-07,27,9.7,4,2,1,6
2,2018-02-07,17,24.7,4,2,1,37
3,2018-02-07,22,11.4,4,2,1,46
1,2018-02-08,19,19.1,5,2,1,33
2,2018-02-08,18,10.2,5,2,1,21
3,2018-02-08,21,9.4,5,2,1,3
1,2018-02-09,16,18.6,6,2,1,31
2,2018-02-09,20,23.1,6,2,1,40
3,2018-02-09,28,3.9,6,2,1,32
1,2018-02-10,29,32.5,7,2,3,2
2,2018-02-10,29,17.4,7,2,3,2
3,2018-02-10,24,24.5,7,2,3,33
1,2018-02-11,23,23.3,1,2,1,48
2,2018-02-11,21,10.2,1,2,1,26
3,2018-02-11,17,9,1,2,1,24
1,2018-02-12,27,3.4,2,2,1,7
2,2018-02-12,23,20.9,2,2,1,20
3,2018-02-12,15,3.1,2,2,1,46
1,2018-02-13,28,29.3,3,2,1,23
2,2018-02-13,29,12.8,3,2,1,2
3,2018-02-13,21,22.3,3,2,1,51
1,2018-02-14,23,5.8,4,2,2,22
2,2018-02-14,24,28.3,4,2,2,49
3,2018-02-14,18,2,4,2,2,15
1,2018-02-15,20,18,5,2,1,37
2,2018-02-15,15,27.3,5,2,1,44
3,2018-02-15,26,20.7,5,2,1,4
1,2018-02-16,20,2.5,6,2,1,52
2,2018-02-16,28,18.1,6,2,1,40
3,2018-02-16,18,5,6,2,1,50
1,2018-02-17,26,23.7,7,2,1,19
2,2018-02-17,15,13.6,7,2,1,19
3,2018-02-17,26,24.6,7,2,1,26
1,2018-02-18,19,6.7,1,2,1,23
2,2018-02-18,29,23.1,1,2,1,1
3,2018-02-18,24,30.1,1,2,1,47
1,2018-02-19,16,8.5,2,2,3,48
2,2018-02-19,23,21.9,2,2,3,1
3,2018-02-19,27,24.4,2,2,3,5
1,2018-02-20,20,24.2,3,2,1,3
2,2018-02-20,26,18.9,3,2,1,51
3,2018-02-20,19,4.6,3,2,1,29
1,2018-02-21,28,3.7,4,2,1,47
2,2018-02-21,15,10.8,4,2,1,52
3,2018-02-21,19,16,4,2,1,26
1,2018-02-22,24,16.5,5,2,1,39
2,2018-02-22,18,6.3,5,2,1,30
3,2018-02-22,19,13.6,5,2,1,10
1,2018-02-23,20,21.1,6,2,1,34
2,2018-02-23,18,12.8,6,2,1,19
3,2018-02-23,24,16.8,6,2,1,5
1,2018-02-24,27,6,7,2,1,24
2,2018-02-24,21,31,7,2,1,28
3,2018-02-24,25,26.4,7,2,1,12
1,2018-02-25,16,19.1,1,2,1,33
2,2018-02-25,15,26.8,1,2,1,43
3,2018-02-25,19,20.8,1,2,1,1
1,2018-02-26,15,21.6,2,2,1,43
2,2018-02-26,26,9.6,2,2,1,12
3,2018-02-26,29,12.9,2,2,1,51
1,2018-02-27,16,22.7,3,2,1,17
2,2018-02-27,24,11,3,2,1,26
3,2018-02-27,24,1.5,3,2,1,34
1,2018-02-28,17,9.8,4,2,1,4
2,2018-02-28,24,23.1,4,2,1,45
3,2018-02-28,25,28.9,4,2,1,36
1,2018-03-01,23,26.5,5,3,3,36
2,2018-03-01,24,14.4,5,3,3,24
3,2018-03-01,17,32.5,5,3,3,48
1,2018-03-02,18,12.7,6,3,3,39
2,2018-03-02,22,28.5,6,3,3,32
3,2018-03-02,19,8.4,6,3,3,13
1,2018-03-03,21,24.9,7,3,1,41
2,2018-03-03,28,29.7,7,3,1,20
3,2018-03-03,23,11,7,3,1,19
1,2018-03-04,15,2.5,1,3,1,41
2,2018-03-04,17,3.7,1,3,1,7
3,2018-03-04,26,31.2,1,3,1,52
1,2018-03-05,17,16.6,2,3,1,16
2,2018-03-05,19,3.7,2,3,1,12
3,2018-03-05,23,18.5,2,3,1,21
1,2018-03-06,18,31.1,3,3,1,16
2,2018-03-06,23,4.4,3,3,1,42
3,2018-03-06,24,2.6,3,3,1,31
1,2018-03-07,24,14.9,4,3,1,23
2,2018-03-07,27,12,4,3,1,18
3,2018-03-07,29,5.4,4,3,1,10
1,2018-03-08,24,20.6,5,3,1,38
2,2018-03-08,21,14.4,5,3,1,40
3,2018-03-08,24,13.5,5,3,1,27
1,2018-03-09,24,5.5,6,3,1,29
2,2018-03-09,19,8.3,6,3,1,8
3,2018-03-09,27,12.7,6,3,1,52
1,2018-03-10,15,31.1,7,3,1,25
2,2018-03-10,27,24.9,7,3,1,6
3,2018-03-10,26,3.5,7,3,1,44
1,2018-03-11,20,23.4,1,3,1,10
2,2018-03-11,24,11.4,1,3,1,3
3,2018-03-11,27,1.2,1,3,1,28
1,2018-03-12,28,2.6,2,3,1,28
2,2018-03-12,22,4.6,2,3,1,41
3,2018-03-12,21,24.7,2,3,1,13
1,2018-03-13,26,31.6,3,3,1,49
2,2018-03-13,23,28.6,3,3,1,38
3,2018-03-13,19,31.6,3,3,1,44
1,2018-03-14,27,31.8,4,3,1,47
2,2018-03-14,19,2.2,4,3,1,21
3,2018-03-14,25,30.2,4,3,1,36
1,2018-03-15,17,23.1,5,3,1,18
2,2018-03-15,29,20.9,5,3,1,14
3,2018-03-15,29,15.3,5,3,1,3
1,2018-03-16,21,2.3,6,3,1,12
2,2018-03-16,24,31.2,6,3,1,8
3,2018-03-16,20,15.4,6,3,1,28
1,2018-03-17,19,9.7,7,3,1,28
2,2018-03-17,18,15.6,7,3,1,50
3,2018-03-17,26,3.3,7,3,1,41
1,2018-03-18,18,32.4,1,3,3,17
2,2018-03-18,23,10.7,1,3,3,20
3,2018-03-18,27,22.7,1,3,3,29
1,2018-03-19,27,29.9,2,3,1,6
2,2018-03-19,16,14.1,2,3,1,5
3,2018-03-19,29,30.2,2,3,1,10
1,2018-03-20,22,28.9,3,3,1,45
2,2018-03-20,19,1.6,3,3,1,33
3,2018-03-20,20,26.7,3,3,1,32
1,2018-03-21,29,5.6,4,3,1,21
2,2018-03-21,24,13,4,3,1,22
3,2018-03-21,25,27.7,4,3,1,13
1,2018-03-22,15,15.8,5,3,1,35
2,2018-03-22,29,9.5,5,3,1,48
3,2018-03-22,21,28.5,5,3,1,17
1,2018-03-23,19,32.8,6,3,1,38
2,2018-03-23,17,18.6,6,3,1,37
3,2018-03-23,19,31,6,3,1,10
1,2018-03-24,17,8.7,7,3,1,14
2,2018-03-24,23,4.9,7,3,1,51
3,2018-03-24,27,20.2,7,3,1,1
1,2018-03-25,15,25,1,3,3,34
2,2018-03-25,26,9.4,1,3,3,39
3,2018-03-25,24,16.7,1,3,3,3
1,2018-03-26,25,10.6,2,3,1,1
2,2018-03-26,20,31.8,2,3,1,30
3,2018-03-26,28,26.1,2,3,1,17
1,2018-03-27,29,1.7,3,3,1,15
2,2018-03-27,19,20.6,3,3,1,2
3,2018-03-27,25,7.6,3,3,1,38
1,2018-03-28,26,32.2,4,3,1,50
2,2018-03-28,16,21.2,4,3,1,15
3,2018-03-28,25,3.7,4,3,1,34
1,2018-03-29,18,18.3,5,3,2,33
2,2018-03-29,22,29.9,5,3,2,30
3,2018-03-29,21,17.6,5,3,2,17
1,2018-03-30,19,26.3,6,3,5,10
2,2018-03-30,22,27.7,6,3,5,17
3,2018-03-30,26,2.9,6,3,5,5
1,2018-03-31,16,20.7,7,3,1,2
2,2018-03-31,27,7.5,7,3,1,43
3,2018-03-31,25,3.2,7,3,1,23
1,2018-04-01,21,19.5,1,4,5,11
2,2018-04-01,20,23.1,1,4,5,4
3,2018-04-01,22,23.1,1,4,5,25
1,2018-04-02,17,28.8,2,4,1,27
2,2018-04-02,27,31.9,2,4,1,51
3,2018-04-02,17,27.1,2,4,1,18
1,2018-04-03,26,11.9,3,4,1,22
2,2018-04-03,19,18.4,3,4,1,5
3,2018-04-03,23,12.2,3,4,1,46
1,2018-04-04,16,4.9,4,4,1,26
2,2018-04-04,27,11.1,4,4,1,26
3,2018-04-04,23,16.2,4,4,1,22
1,2018-04-05,29,17.2,5,4,1,43
2,2018-04-05,29,12.9,5,4,1,17
3,2018-04-05,24,28.6,5,4,1,8
1,2018-04-06,15,19.9,6,4,1,52
2,2018-04-06,29,18,6,4,1,22
3,2018-04-06,28,20.6,6,4,1,23
1,2018-04-07,28,15.6,7,4,1,45
2,2018-04-07,24,2,7,4,1,51
3,2018-04-07,21,22.8,7,4,1,23
1,2018-04-08,28,24.8,1,4,1,45
2,2018-04-08,16,15.1,1,4,1,35
3,2018-04-08,17,8.6,1,4,1,25
1,2018-04-09,21,12.9,2,4,1,10
2,2018-04-09,21,11.1,2,4,1,39
3,2018-04-09,20,11.3,2,4,1,44
1,2018-04-10,23,29.3,3,4,1,20
2,2018-04-10,23,22.5,3,4,1,3
3,2018-04-10,23,16.8,3,4,1,47
1,2018-04-11,18,18,4,4,1,34
2,2018-04-11,29,24.7,4,4,1,49
3,2018-04-11,26,4.9,4,4,1,41
1,2018-04-12,19,12.4,5,4,1,26
2,2018-04-12,16,8.6,5,4,1,45
3,2018-04-12,20,20.2,5,4,1,33
1,2018-04-13,19,4.1,6,4,1,6
2,2018-04-13,20,8.7,6,4,1,4
3,2018-04-13,28,6.8,6,4,1,30
1,2018-04-14,29,2.6,7,4,3,9
2,2018-04-14,21,2.5,7,4,3,31
3,2018-04-14,22,23.1,7,4,3,24
1,2018-04-15,29,29.5,1,4,3,20
2,2018-04-15,26,30.2,1,4,3,15
3,2018-04-15,20,32,1,4,3,30
1,2018-04-16,22,23.9,2,4,1,2
2,2018-04-16,29,17.9,2,4,1,26
3,2018-04-16,17,27.6,2,4,1,5
1,2018-04-17,20,31.8,3,4,1,4
2,2018-04-17,17,7.2,3,4,1,20
3,2018-04-17,15,17.8,3,4,1,1
1,2018-04-18,24,25.4,4,4,1,38
2,2018-04-18,19,17,4,4,1,36
3,2018-04-18,27,17.8,4,4,1,33
1,2018-04-19,20,11.6,5,4,1,10
2,2018-04-19,19,2.8,5,4,1,44
3,2018-04-19,16,11.1,5,4,1,2
1,2018-04-20,18,8.9,6,4,1,37
2,2018-04-20,23,25.1,6,4,1,11
3,2018-04-20,29,15.9,6,4,1,35
1,2018-04-21,28,4.2,7,4,1,5
2,2018-04-21,28,24.7,7,4,1,50
3,2018-04-21,28,30.7,7,4,1,11
1,2018-04-22,23,7.4,1,4,1,35
2,2018-04-22,17,30.4,1,4,1,22
3,2018-04-22,26,27.7,1,4,1,8
1,2018-04-23,25,26.2,2,4,1,14
2,2018-04-23,26,6,2,4,1,21
3,2018-04-23,19,26.9,2,4,1,14
1,2018-04-24,24,29.9,3,4,1,25
2,2018-04-24,27,19.6,3,4,1,18
3,2018-04-24,22,15.3,3,4,1,40
1,2018-04-25,28,29.6,4,4,1,38
2,2018-04-25,15,24.7,4,4,1,15
3,2018-04-25,15,8.2,4,4,1,33
1,2018-04-26,29,13.1,5,4,1,14
2,2018-04-26,19,29.8,5,4,1,51
3,2018-04-26,21,4.5,5,4,1,6
1,2018-04-27,17,20.9,6,4,1,8
2,2018-04-27,24,5.3,6,4,1,15
3,2018-04-27,29,20.6,6,4,1,52
1,2018-04-28,28,29.4,7,4,1,36
2,2018-04-28,27,5.7,7,4,1,33
3,2018-04-28,27,8.8,7,4,1,33
1,2018-04-29,28,7.3,1,4,1,2
2,2018-04-29,24,16.6,1,4,1,10
3,2018-04-29,15,4.1,1,4,1,13
1,2018-04-30,29,12.9,2,4,3,45
2,2018-04-30,22,20.1,2,4,3,15
3,2018-04-30,27,18.1,2,4,3,29
1,2018-05-01,29,13.9,3,5,1,45
2,2018-05-01,16,1.2,3,5,1,51
3,2018-05-01,17,18.9,3,5,1,26
1,2018-05-02,25,20,4,5,1,20
2,2018-05-02,25,31.5,4,5,1,40
3,2018-05-02,20,8.1,4,5,1,23
1,2018-05-03,29,10,5,5,1,43
2,2018-05-03,26,30,5,5,1,40
3,2018-05-03,28,4,5,5,1,33
1,2018-05-04,29,24,6,5,1,43
2,2018-05-04,26,4.1,6,5,1,48
3,2018-05-04,18,26.1,6,5,1,37
1,2018-05-05,22,21.6,7,5,1,49
2,2018-05-05,26,12.8,7,5,1,9
3,2018-05-05,20,3.3,7,5,1,14
1,2018-05-06,22,27.7,1,5,1,11
2,2018-05-06,21,4.7,1,5,1,37
3,2018-05-06,19,6.1,1,5,1,36
1,2018-05-07,20,27.6,2,5,1,1
2,2018-05-07,29,10.8,2,5,1,51
3,2018-05-07,22,20.3,2,5,1,47
1,2018-05-08,23,24.6,3,5,1,10
2,2018-05-08,18,26,3,5,1,26
3,2018-05-08,23,4.5,3,5,1,52
1,2018-05-09,23,28.4,4,5,3,38
2,2018-05-09,16,15.7,4,5,3,27
3,2018-05-09,16,30.2,4,5,3,43
1,2018-05-10,25,15.3,5,5,1,51
2,2018-05-10,20,6.4,5,5,1,7
3,2018-05-10,18,14.2,5,5,1,24
1,2018-05-11,15,12.4,6,5,1,43
2,2018-05-11,20,7.8,6,5,1,50
3,2018-05-11,19,17.3,6,5,1,17
1,2018-05-12,18,15.5,7,5,1,20
2,2018-05-12,20,28.3,7,5,1,40
3,2018-05-12,15,10.4,7,5,1,32
1,2018-05-13,27,13.5,1,5,1,51
2,2018-05-13,25,26.4,1,5,1,32
3,2018-05-13,28,6.9,1,5,1,45
1,2018-05-14,27,15.9,2,5,1,40
2,2018-05-14,17,2.9,2,5,1,14
3,2018-05-14,17,15.3,2,5,1,2
1,2018-05-15,20,14.9,3,5,1,50
2,2018-05-15,28,18.7,3,5,1,4
3,2018-05-15,15,11.5,3,5,1,39
1,2018-05-16,17,12.7,4,5,1,10
2,2018-05-16,17,21.4,4,5,1,33
3,2018-05-16,21,32.1,4,5,1,32
1,2018-05-17,16,28.5,5,5,1,8
2,2018-05-17,15,18.5,5,5,1,3
3,2018-05-17,22,7.1,5,5,1,8
1,2018-05-18,20,11.7,6,5,1,37
2,2018-05-18,17,29.2,6,5,1,28
3,2018-05-18,29,23.9,6,5,1,35
1,2018-05-19,22,23.9,7,5,1,46
2,2018-05-19,25,31.6,7,5,1,52
3,2018-05-19,19,5.3,7,5,1,14
1,2018-05-20,29,11.2,1,5,1,18
2,2018-05-20,21,21.1,1,5,1,33
3,2018-05-20,21,27.9,1,5,1,48
1,2018-05-21,27,28.8,2,5,1,29
2,2018-05-21,26,23.3,2,5,1,1
3,2018-05-21,29,20.8,2,5,1,11
1,2018-05-22,24,27.2,3,5,1,3
2,2018-05-22,21,1.9,3,5,1,20
3,2018-05-22,19,11.8,3,5,1,30
1,2018-05-23,23,14.8,4,5,1,44
2,2018-05-23,17,31.2,4,5,1,22
3,2018-05-23,26,5.3,4,5,1,10
1,2018-05-24,28,16.4,5,5,1,46
2,2018-05-24,21,26.4,5,5,1,17
3,2018-05-24,16,1.5,5,5,1,14
1,2018-05-25,23,18.1,6,5,1,45
2,2018-05-25,23,9.1,6,5,1,22
3,2018-05-25,25,14.3,6,5,1,26
1,2018-05-26,24,29.6,7,5,1,34
2,2018-05-26,21,22.7,7,5,1,6
3,2018-05-26,16,17.7,7,5,1,42
1,2018-05-27,18,16.7,1,5,1,34
2,2018-05-27,15,13.8,1,5,1,38
3,2018-05-27,24,23.8,1,5,1,42
1,2018-05-28,20,5.2,2,5,1,31
2,2018-05-28,20,24.2,2,5,1,34
3,2018-05-28,26,21.1,2,5,1,7
1,2018-05-29,24,30.1,3,5,1,26
2,2018-05-29,19,13.1,3,5,1,46
3,2018-05-29,16,6.1,3,5,1,43
1,2018-05-30,15,3.4,4,5,1,36
2,2018-05-30,17,8.7,4,5,1,21
3,2018-05-30,25,10,4,5,1,36
1,2018-05-31,15,23.9,5,5,1,40
2,2018-05-31,17,31.2,5,5,1,47
3,2018-05-31,22,30.8,5,5,1,5
1,2018-06-01,22,7.7,6,6,1,36
2,2018-06-01,29,9.2,6,6,1,35
3,2018-06-01,18,2.4,6,6,1,45
1,2018-06-02,25,11.5,7,6,1,26
2,2018-06-02,16,4.2,7,6,1,9
3,2018-06-02,22,24.1,7,6,1,25
1,2018-06-03,27,22.8,1,6,1,42
2,2018-06-03,23,8.7,1,6,1,3
3,2018-06-03,16,26.4,1,6,1,44
1,2018-06-04,17,9.5,2,6,1,34
2,2018-06-04,26,12.4,2,6,1,44
3,2018-06-04,25,30.2,2,6,1,17
1,2018-06-05,24,22.9,3,6,1,49
2,2018-06-05,29,3.6,3,6,1,16
3,2018-06-05,22,25.1,3,6,1,31
1,2018-06-06,19,25.1,4,6,1,37
2,2018-06-06,20,21.2,4,6,1,8
3,2018-06-06,23,29.7,4,6,1,12
1,2018-06-07,29,23,5,6,1,41
2,2018-06-07,27,22.2,5,6,1,32
3,2018-06-07,24,19.6,5,6,1,17
1,2018-06-08,21,18.6,6,6,1,22
2,2018-06-08,24,10.8,6,6,1,15
3,2018-06-08,19,24.2,6,6,1,51
1,2018-06-09,22,31.9,7,6,1,23
2,2018-06-09,27,16,7,6,1,30
3,2018-06-09,18,27.8,7,6,1,18
1,2018-06-10,25,27.3,1,6,1,17
2,2018-06-10,28,19.9,1,6,1,35
3,2018-06-10,26,4.7,1,6,1,34
1,2018-06-11,17,23.1,2,6,1,40
2,2018-06-11,24,24,2,6,1,44
3,2018-06-11,21,10.9,2,6,1,49
1,2018-06-12,18,26.1,3,6,1,25
2,2018-06-12,27,20.8,3,6,1,16
3,2018-06-12,27,20.5,3,6,1,2
1,2018-06-13,21,15.6,4,6,1,34
2,2018-06-13,28,0.8,4,6,1,13
3,2018-06-13,27,13.1,4,6,1,32
1,2018-06-14,17,3,5,6,1,46
2,2018-06-14,18,2.5,5,6,1,49
3,2018-06-14,27,2,5,6,1,44
1,2018-06-15,23,19.4,6,6,4,44
2,2018-06-15,29,13.5,6,6,4,30
3,2018-06-15,23,11.6,6,6,4,20
1,2018-06-16,19,24.2,7,6,4,49
2,2018-06-16,17,15.8,7,6,4,30
3,2018-06-16,16,10.3,7,6,4,37
1,2018-06-17,23,9.7,1,6,1,46
2,2018-06-17,29,14.5,1,6,1,49
3,2018-06-17,23,22.5,1,6,1,12
1,2018-06-18,25,31.2,2,6,1,37
2,2018-06-18,25,19.6,2,6,1,39
3,2018-06-18,22,29.1,2,6,1,24
1,2018-06-19,25,29.7,3,6,1,34
2,2018-06-19,23,24.6,3,6,1,4
3,2018-06-19,25,13.7,3,6,1,29
1,2018-06-20,29,8.2,4,6,1,51
2,2018-06-20,27,4.7,4,6,1,43
3,2018-06-20,16,13.1,4,6,1,41
1,2018-06-21,15,31.4,5,6,1,6
2,2018-06-21,19,2.7,5,6,1,47
3,2018-06-21,21,29.1,5,6,1,35
1,2018-06-22,18,32.6,6,6,1,42
2,2018-06-22,17,25.1,6,6,1,17
3,2018-06-22,22,29.5,6,6,1,35
1,2018-06-23,20,20.7,7,6,1,47
2,2018-06-23,23,19.8,7,6,1,14
3,2018-06-23,19,3.7,7,6,1,41
1,2018-06-24,22,9.3,1,6,1,28
2,2018-06-24,27,29.2,1,6,1,25
3,2018-06-24,16,28.4,1,6,1,9
1,2018-06-25,29,21.8,2,6,1,5
2,2018-06-25,25,3.6,2,6,1,24
3,2018-06-25,26,12.7,2,6,1,8
1,2018-06-26,25,23.9,3,6,1,26
2,2018-06-26,16,3.4,3,6,1,48
3,2018-06-26,27,29.4,3,6,1,13
1,2018-06-27,15,2.8,4,6,1,45
2,2018-06-27,28,19.8,4,6,1,3
3,2018-06-27,22,22,4,6,1,40
1,2018-06-28,25,28.5,5,6,1,33
2,2018-06-28,20,17.5,5,6,1,16
3,2018-06-28,22,8.6,5,6,1,48
1,2018-06-29,23,11.5,6,6,1,45
2,2018-06-29,23,30.6,6,6,1,36
3,2018-06-29,29,23.2,6,6,1,7
1,2018-06-30,19,29,7,6,1,51
2,2018-06-30,29,27.2,7,6,1,10
3,2018-06-30,25,8.1,7,6,1,39
1,2018-07-01,29,0.8,1,7,1,2
2,2018-07-01,28,25,1,7,1,12
3,2018-07-01,21,7,1,7,1,13
1,2018-07-02,28,11.2,2,7,1,41
2,2018-07-02,15,4.5,2,7,1,34
3,2018-07-02,26,1.1,2,7,1,45
1,2018-07-03,17,4.9,3,7,1,19
2,2018-07-03,28,1.4,3,7,1,41
3,2018-07-03,16,11.7,3,7,1,15
1,2018-07-04,28,24.9,4,7,1,22
2,2018-07-04,18,6.4,4,7,1,36
3,2018-07-04,16,31.1,4,7,1,17
1,2018-07-05,26,3,5,7,1,10
2,2018-07-05,20,11.9,5,7,1,26
3,2018-07-05,22,2.3,5,7,1,50
1,2018-07-06,28,32,6,7,1,29
2,2018-07-06,26,24.8,6,7,1,35
3,2018-07-06,18,25.1,6,7,1,7
1,2018-07-07,27,1.5,7,7,1,6
2,2018-07-07,29,16.4,7,7,1,51
3,2018-07-07,25,22.7,7,7,1,26
1,2018-07-08,16,9.6,1,7,1,29
2,2018-07-08,18,14.4,1,7,1,13
3,2018-07-08,23,6,1,7,1,29
1,2018-07-09,27,10.3,2,7,1,32
2,2018-07-09,16,25.5,2,7,1,20
3,2018-07-09,20,5,2,7,1,3
1,2018-07-10,15,31.6,3,7,1,28
2,2018-07-10,27,31,3,7,1,16
3,2018-07-10,19,21.2,3,7,1,6
1,2018-07-11,17,9.6,4,7,1,3
2,2018-07-11,25,13.9,4,7,1,38
3,2018-07-11,29,24.7,4,7,1,35
1,2018-07-12,15,21.7,5,7,1,12
2,2018-07-12,16,28.5,5,7,1,16
3,2018-07-12,25,31.8,5,7,1,46
1,2018-07-13,23,28.6,6,7,1,8
2,2018-07-13,29,15.3,6,7,1,50
3,2018-07-13,18,1.4,6,7,1,29
1,2018-07-14,26,1.8,7,7,2,3
2,2018-07-14,18,26.3,7,7,2,25
3,2018-07-14,28,4.6,7,7,2,17
1,2018-07-15,28,22.7,1,7,1,36
2,2018-07-15,23,7.2,1,7,1,22
3,2018-07-15,20,11.2,1,7,1,2
1,2018-07-16,22,14.7,2,7,1,13
2,2018-07-16,15,1.2,2,7,1,18
3,2018-07-16,28,13.4,2,7,1,46
1,2018-07-17,29,20,3,7,1,32
2,2018-07-17,25,23,3,7,1,33
3,2018-07-17,26,25.8,3,7,1,8
1,2018-07-18,25,16.2,4,7,1,24
2,2018-07-18,23,8.5,4,7,1,46
3,2018-07-18,29,16.8,4,7,1,22
1,2018-07-19,26,23.3,5,7,1,10
2,2018-07-19,22,1.1,5,7,1,33
3,2018-07-19,16,17.9,5,7,1,41
1,2018-07-20,27,3.4,6,7,1,13
2,2018-07-20,18,12.2,6,7,1,39
3,2018-07-20,16,32.1,6,7,1,26
1,2018-07-21,28,23,7,7,1,15
2,2018-07-21,16,2.1,7,7,1,44
3,2018-07-21,15,31.2,7,7,1,3
1,2018-07-22,25,1.8,1,7,1,6
2,2018-07-22,23,2.5,1,7,1,32
3,2018-07-22,23,23.5,1,7,1,8
