Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-04-09,1,52,24,21.6,Monday,April,Normal Day,
2018-04-10,1,11,26,11.2,Tuesday,April,Normal Day,
2018-04-11,1,21,16,19.7,Wednesday,April,Normal Day,
2018-04-12,1,51,24,14.7,Thursday,April,Normal Day,
2018-04-13,1,11,28,32.3,Friday,April,Normal Day,
2018-04-14,1,30,18,5.6,Saturday,April,Vaisakhi/Vishu/Mesadi (R),3.0
2018-04-15,1,48,28,15.7,Sunday,April,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),3.0
2018-04-16,1,35,29,22.6,Monday,April,Normal Day,
2018-04-17,1,22,29,13.5,Tuesday,April,Normal Day,
2018-04-18,1,38,22,32.0,Wednesday,April,Normal Day,
2018-04-19,1,31,28,23.9,Thursday,April,Normal Day,
2018-04-20,1,14,21,21.8,Friday,April,Normal Day,
2018-04-21,1,24,26,25.0,Saturday,April,Normal Day,
2018-04-22,1,50,23,31.3,Sunday,April,Normal Day,
2018-04-23,1,49,28,29.9,Monday,April,Normal Day,
2018-04-24,1,32,22,24.0,Tuesday,April,Normal Day,
2018-04-25,1,36,19,24.8,Wednesday,April,Normal Day,
2018-04-26,1,32,27,5.5,Thursday,April,Normal Day,
2018-04-27,1,15,16,4.1,Friday,April,Normal Day,
2018-04-28,1,43,29,19.1,Saturday,April,Normal Day,
2018-04-29,1,35,19,1.4,Sunday,April,Normal Day,
2018-04-30,1,3,22,16.2,Monday,April,Buddha Purnima (G),3.0
2018-05-01,1,16,24,7.5,Tuesday,May,Normal Day,
2018-05-02,1,5,23,11.9,Wednesday,May,Normal Day,
2018-05-03,1,21,26,25.6,Thursday,May,Normal Day,
2018-05-04,1,10,26,30.9,Friday,May,Normal Day,
2018-05-05,1,19,26,3.1,Saturday,May,Normal Day,
2018-05-06,1,25,27,17.9,Sunday,May,Normal Day,
2018-05-07,1,4,23,29.0,Monday,May,Normal Day,
2018-05-08,1,29,27,3.4,Tuesday,May,Normal Day,
2018-05-09,1,19,29,27.2,Wednesday,May,Guru Rabindranath's Birthday (R),3.0
2018-05-10,1,43,27,12.2,Thursday,May,Normal Day,
2018-05-11,1,2,15,11.1,Friday,May,Normal Day,
2018-05-12,1,10,23,32.1,Saturday,May,Normal Day,
2018-05-13,1,43,21,7.2,Sunday,May,Normal Day,
2018-05-14,1,25,23,23.0,Monday,May,Normal Day,
2018-05-15,1,20,22,27.1,Tuesday,May,Normal Day,
2018-05-16,1,48,15,2.1,Wednesday,May,Normal Day,
2018-05-17,1,19,26,22.3,Thursday,May,Normal Day,
2018-05-18,1,23,22,31.2,Friday,May,Normal Day,
2018-05-19,1,24,22,4.8,Saturday,May,Normal Day,
2018-05-20,1,11,29,29.5,Sunday,May,Normal Day,
2018-05-21,1,46,25,19.8,Monday,May,Normal Day,
2018-05-22,1,34,17,20.5,Tuesday,May,Normal Day,
2018-05-23,1,28,15,20.4,Wednesday,May,Normal Day,
2018-05-24,1,5,22,10.4,Thursday,May,Normal Day,
2018-05-25,1,5,17,30.7,Friday,May,Normal Day,
2018-05-26,1,51,17,31.1,Saturday,May,Normal Day,
2018-05-27,1,21,15,20.8,Sunday,May,Normal Day,
2018-05-28,1,12,25,25.9,Monday,May,Normal Day,
2018-05-29,1,50,19,20.4,Tuesday,May,Normal Day,
2018-05-30,1,4,24,16.3,Wednesday,May,Normal Day,
2018-05-31,1,49,21,21.9,Thursday,May,Normal Day,
2018-06-01,1,42,24,18.5,Friday,June,Normal Day,
2018-06-02,1,20,23,19.9,Saturday,June,Normal Day,
2018-06-03,1,38,26,25.9,Sunday,June,Normal Day,
2018-06-04,1,25,21,16.2,Monday,June,Normal Day,
2018-06-05,1,14,23,2.1,Tuesday,June,Normal Day,
2018-06-06,1,11,22,6.0,Wednesday,June,Normal Day,
2018-06-07,1,32,26,14.8,Thursday,June,Normal Day,
2018-06-08,1,11,16,24.0,Friday,June,Normal Day,
2018-06-09,1,18,15,19.8,Saturday,June,Normal Day,
2018-06-10,1,27,21,21.6,Sunday,June,Normal Day,
2018-06-11,1,18,21,16.1,Monday,June,Normal Day,
2018-06-12,1,23,28,20.5,Tuesday,June,Normal Day,
2018-06-13,1,11,22,11.3,Wednesday,June,Normal Day,
2018-06-14,1,21,19,15.8,Thursday,June,Normal Day,
2018-06-15,1,44,17,24.6,Friday,June,Jamat-Ul-Vida (R),4.0
2018-06-16,1,5,26,28.7,Saturday,June,Idu'l Fitr (G),4.0
2018-06-17,1,23,22,14.7,Sunday,June,Normal Day,
2018-06-18,1,41,20,2.2,Monday,June,Normal Day,
2018-06-19,1,25,25,6.0,Tuesday,June,Normal Day,
2018-06-20,1,41,17,1.5,Wednesday,June,Normal Day,
2018-06-21,1,10,15,21.7,Thursday,June,Normal Day,
2018-06-22,1,22,17,11.4,Friday,June,Normal Day,
2018-06-23,1,19,19,18.2,Saturday,June,Normal Day,
2018-06-24,1,1,29,16.6,Sunday,June,Normal Day,
2018-06-25,1,7,28,3.4,Monday,June,Normal Day,
2018-06-26,1,4,17,13.7,Tuesday,June,Normal Day,
2018-06-27,1,1,15,7.9,Wednesday,June,Normal Day,
2018-06-28,1,15,19,14.2,Thursday,June,Normal Day,
2018-06-29,1,40,24,7.3,Friday,June,Normal Day,
2018-06-30,1,12,21,27.7,Saturday,June,Normal Day,
2018-07-01,1,22,29,6.4,Sunday,July,Normal Day,
2018-07-02,1,22,28,31.5,Monday,July,Normal Day,
2018-07-03,1,50,21,14.1,Tuesday,July,Normal Day,
2018-07-04,1,47,25,27.9,Wednesday,July,Normal Day,
2018-07-05,1,17,23,20.9,Thursday,July,Normal Day,
2018-07-06,1,29,29,24.3,Friday,July,Normal Day,
2018-07-07,1,46,29,25.4,Saturday,July,Normal Day,
2018-07-08,1,14,24,17.0,Sunday,July,Normal Day,
2018-07-09,1,50,24,18.2,Monday,July,Normal Day,
2018-07-10,1,20,26,17.2,Tuesday,July,Normal Day,
2018-07-11,1,50,27,19.6,Wednesday,July,Normal Day,
2018-07-12,1,48,17,1.7,Thursday,July,Normal Day,
2018-07-13,1,33,29,13.5,Friday,July,Normal Day,
2018-07-14,1,43,21,20.2,Saturday,July,Rath Yatra (R),2.0
2018-07-15,1,15,15,19.9,Sunday,July,Normal Day,
2018-07-16,1,12,18,26.2,Monday,July,Normal Day,
2018-07-17,1,40,27,21.8,Tuesday,July,Normal Day,
2018-07-18,1,20,18,32.5,Wednesday,July,Normal Day,
2018-07-19,1,30,28,9.9,Thursday,July,Normal Day,
2018-07-20,1,38,19,12.3,Friday,July,Normal Day,
2018-07-21,1,3,21,13.1,Saturday,July,Normal Day,
2018-07-22,1,28,21,15.7,Sunday,July,Normal Day,
2018-07-23,1,26,27,27.6,Monday,July,Normal Day,
2018-07-24,1,30,29,8.3,Tuesday,July,Normal Day,
2018-07-25,1,13,25,25.6,Wednesday,July,Normal Day,
2018-07-26,1,13,27,13.8,Thursday,July,Normal Day,
2018-07-27,1,2,18,20.1,Friday,July,Normal Day,
2018-07-28,1,37,27,21.0,Saturday,July,Normal Day,
2018-07-29,1,49,21,12.7,Sunday,July,Normal Day,
2018-07-30,1,38,25,17.2,Monday,July,Normal Day,
2018-07-31,1,2,17,14.0,Tuesday,July,Normal Day,
2018-08-01,1,36,20,3.0,Wednesday,August,Normal Day,
2018-08-02,1,26,26,14.8,Thursday,August,Normal Day,
2018-08-03,1,11,16,3.9,Friday,August,Normal Day,
2018-08-04,1,8,24,13.8,Saturday,August,Normal Day,
2018-08-05,1,44,27,19.8,Sunday,August,Normal Day,
2018-08-06,1,40,28,19.3,Monday,August,Normal Day,
2018-08-07,1,43,23,22.0,Tuesday,August,Normal Day,
2018-08-08,1,22,19,3.8,Wednesday,August,Normal Day,
2018-08-09,1,20,20,21.7,Thursday,August,Normal Day,
2018-08-10,1,8,26,10.8,Friday,August,Normal Day,
2018-08-11,1,29,26,13.6,Saturday,August,Normal Day,
2018-08-12,1,40,26,28.3,Sunday,August,Normal Day,
2018-08-13,1,26,26,1.1,Monday,August,Normal Day,
2018-08-14,1,30,18,19.6,Tuesday,August,Normal Day,
2018-08-15,1,17,28,20.0,Wednesday,August,Independence day (G),2.0
2018-08-16,1,20,28,13.5,Thursday,August,Normal Day,
2018-08-17,1,52,25,8.4,Friday,August,Parsi New Year's day/Nauraj (R),4.0
2018-08-18,1,16,24,8.3,Saturday,August,Normal Day,
2018-08-19,1,46,21,29.1,Sunday,August,Normal Day,
2018-08-20,1,43,26,14.9,Monday,August,Normal Day,
2018-08-21,1,7,23,11.4,Tuesday,August,Normal Day,
2018-08-22,1,16,21,15.2,Wednesday,August,Id-ul-Zuha (Bakrid) (G),4.0
2018-08-23,1,45,28,22.2,Thursday,August,Normal Day,
2018-08-24,1,47,15,5.5,Friday,August,Normal Day,
2018-08-25,1,48,15,15.2,Saturday,August,Onam or Thiru Onam Day (R),2.0
2018-08-26,1,27,23,19.6,Sunday,August,Raksha Bandhan (R),2.0
2018-08-27,1,23,25,31.2,Monday,August,Normal Day,
2018-08-28,1,24,28,8.9,Tuesday,August,Normal Day,
2018-08-29,1,9,23,12.3,Wednesday,August,Normal Day,
2018-08-30,1,35,18,12.9,Thursday,August,Normal Day,
2018-08-31,1,51,27,20.2,Friday,August,Normal Day,
2018-09-01,1,20,23,12.2,Saturday,September,Normal Day,
2018-09-02,1,37,17,17.9,Sunday,September,Normal Day,
2018-09-03,1,42,21,25.8,Monday,September,Janmashtami (G),3.0
2018-09-04,1,17,20,23.4,Tuesday,September,Normal Day,
2018-09-05,1,47,22,15.1,Wednesday,September,Normal Day,
2018-09-06,1,31,25,28.5,Thursday,September,Normal Day,
2018-09-07,1,8,23,18.7,Friday,September,Normal Day,
2018-09-08,1,15,28,18.1,Saturday,September,Normal Day,
2018-09-09,1,31,19,1.9,Sunday,September,Normal Day,
2018-09-10,1,30,15,32.4,Monday,September,Normal Day,
2018-09-11,1,46,17,4.7,Tuesday,September,Normal Day,
2018-09-12,1,20,24,8.2,Wednesday,September,Normal Day,
2018-09-13,1,39,26,2.5,Thursday,September,Vinayaka Chaturthi/Ganesh Chaturthi (R),3.0
2018-09-14,1,12,22,21.3,Friday,September,Normal Day,
2018-09-15,1,49,29,8.0,Saturday,September,Normal Day,
2018-09-16,1,17,25,6.6,Sunday,September,Normal Day,
2018-09-17,1,42,20,3.6,Monday,September,Normal Day,
2018-09-18,1,30,22,4.1,Tuesday,September,Normal Day,
2018-09-19,1,29,23,19.5,Wednesday,September,Normal Day,
2018-09-20,1,19,18,22.8,Thursday,September,Normal Day,
2018-09-21,1,46,15,13.5,Friday,September,Muharram (G),4.0
2018-09-22,1,11,28,16.2,Saturday,September,Normal Day,
2018-09-23,1,34,15,22.8,Sunday,September,Normal Day,
2018-09-24,1,50,24,1.4,Monday,September,Normal Day,
2018-09-25,1,7,18,11.1,Tuesday,September,Normal Day,
2018-09-26,1,44,26,31.9,Wednesday,September,Normal Day,
2018-09-27,1,34,28,19.4,Thursday,September,Normal Day,
2018-09-28,1,20,21,8.9,Friday,September,Normal Day,
2018-09-29,1,50,16,17.5,Saturday,September,Normal Day,
2018-09-30,1,38,17,11.8,Sunday,September,Normal Day,
2018-10-01,1,24,15,17.8,Monday,October,Normal Day,
2018-10-02,1,10,19,4.8,Tuesday,October,Mahatma Gandhi's Birthday (G),2.0
2018-10-03,1,32,15,5.0,Wednesday,October,Normal Day,
2018-10-04,1,52,22,5.4,Thursday,October,Normal Day,
2018-10-05,1,15,15,30.9,Friday,October,Normal Day,
2018-10-06,1,37,25,24.3,Saturday,October,Normal Day,
2018-10-07,1,20,15,6.0,Sunday,October,Normal Day,
2018-10-08,1,3,16,6.8,Monday,October,Normal Day,
2018-10-09,1,37,16,24.2,Tuesday,October,Normal Day,
2018-10-10,1,40,26,5.8,Wednesday,October,Normal Day,
2018-10-11,1,8,20,8.3,Thursday,October,Normal Day,
2018-10-12,1,40,21,31.6,Friday,October,Normal Day,
2018-10-13,1,44,19,9.0,Saturday,October,Normal Day,
2018-10-14,1,23,15,22.0,Sunday,October,Normal Day,
2018-10-15,1,40,15,32.1,Monday,October,Normal Day,
2018-10-16,1,11,17,12.8,Tuesday,October,Dussehra (Maha Saptami) (Additional) (R),3.0
2018-10-17,1,46,28,1.4,Wednesday,October,Dussehra (Maha Ashtami) (Additional) (R),3.0
2018-10-18,1,8,16,8.6,Thursday,October,Dussehra (Maha Navmi) (R),3.0
2018-10-19,1,29,19,27.4,Friday,October,Dussehra (G),3.0
2018-10-20,1,30,26,28.5,Saturday,October,Normal Day,
2018-10-21,1,10,24,25.4,Sunday,October,Normal Day,
2018-10-22,1,39,20,4.4,Monday,October,Normal Day,
2018-10-23,1,28,21,26.3,Tuesday,October,Normal Day,
2018-10-24,1,49,18,30.2,Wednesday,October,Maharishi Valmiki's Birthday (R),3.0
2018-10-25,1,36,21,20.0,Thursday,October,Normal Day,
2018-10-26,1,13,25,30.9,Friday,October,Normal Day,
2018-10-27,1,32,22,27.3,Saturday,October,Karaka Chaturthi (Karva Chouth) (R),3.0
2018-10-28,1,36,25,22.1,Sunday,October,Normal Day,
2018-10-29,1,37,15,19.3,Monday,October,Normal Day,
2018-10-30,1,26,29,12.0,Tuesday,October,Normal Day,
2018-10-31,1,22,20,5.9,Wednesday,October,Normal Day,
2018-11-01,1,4,22,20.2,Thursday,November,Normal Day,
2018-11-02,1,31,19,11.0,Friday,November,Normal Day,
2018-11-03,1,18,18,28.5,Saturday,November,Normal Day,
2018-11-04,1,38,16,32.6,Sunday,November,Normal Day,
2018-11-05,1,24,20,24.9,Monday,November,Normal Day,
2018-11-06,1,23,20,3.7,Tuesday,November,Deepavali (South India) (R),3.0
2018-11-07,1,22,25,10.0,Wednesday,November,Diwali (Deepavali) (G),3.0
2018-11-08,1,2,29,4.3,Thursday,November,Govardhan Puja (R),3.0
2018-11-09,1,31,15,21.6,Friday,November,Bhai Duj (R),3.0
2018-11-10,1,11,23,25.3,Saturday,November,Normal Day,
2018-11-11,1,28,26,30.4,Sunday,November,Normal Day,
2018-11-12,1,46,25,14.8,Monday,November,Normal Day,
2018-11-13,1,32,20,29.6,Tuesday,November,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),3.0
2018-11-14,1,5,27,28.9,Wednesday,November,Normal Day,
2018-11-15,1,38,17,11.0,Thursday,November,Normal Day,
2018-11-16,1,10,18,28.6,Friday,November,Normal Day,
2018-11-17,1,40,26,12.8,Saturday,November,Normal Day,
2018-11-18,1,46,25,10.3,Sunday,November,Normal Day,
2018-11-19,1,24,18,21.6,Monday,November,Normal Day,
2018-11-20,1,35,17,11.3,Tuesday,November,Normal Day,
2018-11-21,1,44,24,21.0,Wednesday,November,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),4.0
2018-11-22,1,48,17,20.3,Thursday,November,Normal Day,
2018-11-23,1,23,29,18.8,Friday,November,Gur'u Nanak's Birthday (G),3.0
2018-11-24,1,17,17,13.0,Saturday,November,Guru Teg Bahadur's Martyrdom Day (R),3.0
2018-11-25,1,1,18,18.4,Sunday,November,Normal Day,
2018-11-26,1,31,21,19.9,Monday,November,Normal Day,
2018-11-27,1,31,18,18.3,Tuesday,November,Normal Day,
2018-11-28,1,42,23,15.0,Wednesday,November,Normal Day,
2018-11-29,1,42,15,1.3,Thursday,November,Normal Day,
2018-11-30,1,34,22,19.6,Friday,November,Normal Day,
2018-12-01,1,9,21,6.2,Saturday,December,Normal Day,
2018-12-02,1,22,16,21.4,Sunday,December,Normal Day,
2018-12-03,1,13,22,25.1,Monday,December,Normal Day,
2018-12-04,1,25,15,16.8,Tuesday,December,Normal Day,
2018-12-05,1,48,25,18.2,Wednesday,December,Normal Day,
2018-12-06,1,18,26,31.2,Thursday,December,Normal Day,
2018-12-07,1,51,23,27.9,Friday,December,Normal Day,
2018-12-08,1,12,23,30.1,Saturday,December,Normal Day,
2018-12-09,1,40,16,26.8,Sunday,December,Normal Day,
2018-12-10,1,17,21,4.3,Monday,December,Normal Day,
2018-12-11,1,15,29,5.6,Tuesday,December,Normal Day,
2018-12-12,1,42,28,17.7,Wednesday,December,Normal Day,
2018-12-13,1,15,24,8.7,Thursday,December,Normal Day,
2018-12-14,1,15,17,16.1,Friday,December,Normal Day,
2018-12-15,1,39,21,13.4,Saturday,December,Normal Day,
2018-12-16,1,13,26,18.4,Sunday,December,Normal Day,
2018-12-17,1,17,24,24.7,Monday,December,Normal Day,
2018-12-18,1,32,23,23.7,Tuesday,December,Normal Day,
2018-12-19,1,9,18,17.5,Wednesday,December,Normal Day,
2018-12-20,1,40,26,27.1,Thursday,December,Normal Day,
2018-12-21,1,20,15,14.6,Friday,December,Normal Day,
2018-12-22,1,26,16,29.5,Saturday,December,Normal Day,
2018-12-23,1,27,15,3.1,Sunday,December,Normal Day,
2018-12-24,1,21,28,31.3,Monday,December,Christmas Eve (R),2.0
2018-12-25,1,18,26,21.8,Tuesday,December,Christmas Day (G),2.0
2018-12-26,1,13,19,13.0,Wednesday,December,Normal Day,
2018-12-27,1,16,19,7.1,Thursday,December,Normal Day,
2018-12-28,1,9,25,16.1,Friday,December,Normal Day,
2018-12-29,1,12,21,7.0,Saturday,December,Normal Day,
2018-12-30,1,44,23,6.1,Sunday,December,Normal Day,
2018-12-31,1,38,23,20.6,Monday,December,Normal Day,
2019-01-01,1,19,17,17.5,Tuesday,January,New Year's Day (R),2.0
2019-01-02,1,7,17,22.2,Wednesday,January,Normal Day,
2019-01-03,1,35,17,30.5,Thursday,January,Normal Day,
2019-01-04,1,48,18,17.8,Friday,January,Normal Day,
2019-01-05,1,18,22,19.4,Saturday,January,Normal Day,
2019-01-06,1,16,20,3.7,Sunday,January,Normal Day,
2019-01-07,1,39,22,23.8,Monday,January,Normal Day,
2019-01-08,1,4,15,13.6,Tuesday,January,Normal Day,
2019-01-09,1,25,22,32.1,Wednesday,January,Normal Day,
2019-01-10,1,32,18,27.1,Thursday,January,Normal Day,
2019-01-11,1,40,25,17.5,Friday,January,Normal Day,
2019-01-12,1,13,15,4.7,Saturday,January,Normal Day,
2019-01-13,1,45,22,28.3,Sunday,January,Guru Gobind Singh's Birthday (R),1.0
2019-01-14,1,17,18,26.4,Monday,January,Makar Sankranti (R),3.0
2019-01-15,1,49,20,6.7,Tuesday,January,Pongal (R),1.0
2019-01-16,1,37,22,10.2,Wednesday,January,Normal Day,
2019-01-17,1,6,18,26.2,Thursday,January,Normal Day,
2019-01-18,1,19,28,6.7,Friday,January,Normal Day,
2019-01-19,1,13,17,30.2,Saturday,January,Normal Day,
2019-01-20,1,26,28,14.4,Sunday,January,Normal Day,
2019-01-21,1,14,23,3.6,Monday,January,Normal Day,
2019-01-22,1,31,17,26.9,Tuesday,January,Normal Day,
2019-01-23,1,4,23,12.8,Wednesday,January,Normal Day,
2019-01-24,1,39,27,17.6,Thursday,January,Normal Day,
2019-01-25,1,8,16,4.4,Friday,January,Normal Day,
2019-01-26,1,25,28,0.9,Saturday,January,Republic Day (G),2.0
2019-01-27,1,13,16,21.2,Sunday,January,Normal Day,
2019-01-28,1,32,16,17.3,Monday,January,Normal Day,
2019-01-29,1,38,20,19.8,Tuesday,January,Normal Day,
2019-01-30,1,38,17,26.2,Wednesday,January,Normal Day,
2019-01-31,1,28,27,21.5,Thursday,January,Normal Day,
2019-02-01,1,30,23,6.4,Friday,February,Normal Day,
2019-02-02,1,3,18,12.3,Saturday,February,Normal Day,
2019-02-03,1,28,15,29.8,Sunday,February,Normal Day,
2019-02-04,1,3,18,25.4,Monday,February,Normal Day,
2019-02-05,1,45,15,18.6,Tuesday,February,Normal Day,
2019-02-06,1,34,28,9.0,Wednesday,February,Normal Day,
2019-02-07,1,16,19,10.5,Thursday,February,Normal Day,
2019-02-08,1,22,18,24.2,Friday,February,Normal Day,
2019-02-09,1,32,22,28.0,Saturday,February,Normal Day,
2019-02-10,1,38,22,22.3,Sunday,February,Basant Panchami / Sri Panchami (R),3.0
2019-02-11,1,8,21,26.7,Monday,February,Normal Day,
2019-02-12,1,8,17,25.3,Tuesday,February,Normal Day,
2019-02-13,1,6,15,5.6,Wednesday,February,Normal Day,
2019-02-14,1,14,15,14.4,Thursday,February,Normal Day,
2019-02-15,1,32,26,5.7,Friday,February,Normal Day,
2019-02-16,1,35,25,8.3,Saturday,February,Normal Day,
2019-02-17,1,10,17,28.6,Sunday,February,Normal Day,
2019-02-18,1,3,20,15.9,Monday,February,Normal Day,
2019-02-19,1,12,21,17.9,Tuesday,February,Guru Ravidas's Birthday (R),3.0
2019-02-20,1,49,20,6.5,Wednesday,February,Normal Day,
2019-02-21,1,31,28,10.8,Thursday,February,Normal Day,
2019-02-22,1,29,28,8.2,Friday,February,Normal Day,
2019-02-23,1,5,20,7.4,Saturday,February,Normal Day,
2019-02-24,1,52,20,21.2,Sunday,February,Normal Day,
2019-02-25,1,25,27,9.0,Monday,February,Normal Day,
2019-02-26,1,41,17,21.0,Tuesday,February,Normal Day,
2019-02-27,1,31,20,2.7,Wednesday,February,Normal Day,
2019-02-28,1,21,22,5.3,Thursday,February,Normal Day,
2019-03-01,1,20,25,9.6,Friday,March,Swami Dayananda Saraswati Jayanti (R),3.0
2019-03-02,1,39,25,19.9,Saturday,March,Normal Day,
