Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion,Special Occasion Category
2018-01-12,3,42,15,20.2,Friday,January,Normal Day,
2018-01-13,1,28,21,21.6,Saturday,January,Normal Day,
2018-01-13,2,12,21,28.0,Saturday,January,Normal Day,
2018-01-13,3,23,16,3.9,Saturday,January,Normal Day,
2018-01-14,1,35,28,11.2,Sunday,January,Makar Sankranti (R),3.0
2018-01-14,2,27,26,21.2,Sunday,January,Makar Sankranti (R),3.0
2018-01-14,3,37,17,15.9,Sunday,January,Makar Sankranti (R),3.0
2018-01-15,1,1,29,23.6,Monday,January,Normal Day,
2018-01-15,2,14,19,18.8,Monday,January,Normal Day,
2018-01-15,3,15,21,2.1,Monday,January,Normal Day,
2018-01-16,1,13,29,4.3,Tuesday,January,Normal Day,
2018-01-16,2,39,17,1.8,Tuesday,January,Normal Day,
2018-01-16,3,32,15,10.9,Tuesday,January,Normal Day,
2018-01-17,1,23,18,29.8,Wednesday,January,Normal Day,
2018-01-17,2,43,21,13.9,Wednesday,January,Normal Day,
2018-01-17,3,32,27,8.1,Wednesday,January,Normal Day,
2018-01-18,1,22,21,10.1,Thursday,January,Normal Day,
2018-01-18,2,45,26,30.6,Thursday,January,Normal Day,
2018-01-18,3,6,28,21.1,Thursday,January,Normal Day,
2018-01-19,1,44,26,26.5,Friday,January,Normal Day,
2018-01-19,2,11,18,29.4,Friday,January,Normal Day,
2018-01-19,3,25,24,4.7,Friday,January,Normal Day,
2018-01-20,1,1,21,29.8,Saturday,January,Normal Day,
2018-01-20,2,52,23,21.5,Saturday,January,Normal Day,
2018-01-20,3,39,27,28.3,Saturday,January,Normal Day,
2018-01-21,1,9,20,17.1,Sunday,January,Normal Day,
2018-01-21,2,51,28,7.9,Sunday,January,Normal Day,
2018-01-21,3,15,24,11.6,Sunday,January,Normal Day,
2018-01-22,1,32,25,11.1,Monday,January,Basant Panchami / Sri Panchami (R),3.0
2018-01-22,2,49,22,23.3,Monday,January,Basant Panchami / Sri Panchami (R),3.0
2018-01-22,3,52,28,31.9,Monday,January,Basant Panchami / Sri Panchami (R),3.0
2018-01-23,1,2,26,8.9,Tuesday,January,Normal Day,
2018-01-23,2,49,17,10.4,Tuesday,January,Normal Day,
2018-01-23,3,49,22,2.0,Tuesday,January,Normal Day,
2018-01-24,1,23,16,16.9,Wednesday,January,Normal Day,
2018-01-24,2,1,19,11.8,Wednesday,January,Normal Day,
2018-01-24,3,44,17,22.6,Wednesday,January,Normal Day,
2018-01-25,1,32,24,32.3,Thursday,January,Normal Day,
2018-01-25,2,11,21,22.3,Thursday,January,Normal Day,
2018-01-25,3,38,22,8.4,Thursday,January,Normal Day,
2018-01-26,1,34,22,15.8,Friday,January,Republic Day (G),2.0
2018-01-26,2,48,20,13.6,Friday,January,Republic Day (G),2.0
2018-01-26,3,6,15,5.6,Friday,January,Republic Day (G),2.0
2018-01-27,1,36,27,28.3,Saturday,January,Normal Day,
2018-01-27,2,19,17,23.6,Saturday,January,Normal Day,
2018-01-27,3,52,18,21.4,Saturday,January,Normal Day,
2018-01-28,1,39,23,22.9,Sunday,January,Normal Day,
2018-01-28,2,11,16,27.6,Sunday,January,Normal Day,
2018-01-28,3,50,26,24.3,Sunday,January,Normal Day,
2018-01-29,1,42,21,18.1,Monday,January,Normal Day,
2018-01-29,2,16,17,8.1,Monday,January,Normal Day,
2018-01-29,3,52,24,32.2,Monday,January,Normal Day,
2018-01-30,1,1,26,9.1,Tuesday,January,Normal Day,
2018-01-30,2,37,28,29.5,Tuesday,January,Normal Day,
2018-01-30,3,41,25,6.8,Tuesday,January,Normal Day,
2018-01-31,1,16,17,23.2,Wednesday,January,Guru Ravidas's Birthday (R),3.0
2018-01-31,2,33,17,28.2,Wednesday,January,Guru Ravidas's Birthday (R),3.0
2018-01-31,3,49,22,28.0,Wednesday,January,Guru Ravidas's Birthday (R),3.0
2018-02-01,1,40,22,25.9,Thursday,February,Normal Day,
2018-02-01,2,48,18,19.4,Thursday,February,Normal Day,
2018-02-01,3,25,28,30.9,Thursday,February,Normal Day,
2018-02-02,1,46,27,9.9,Friday,February,Normal Day,
2018-02-02,2,35,16,16.3,Friday,February,Normal Day,
2018-02-02,3,33,27,8.0,Friday,February,Normal Day,
2018-02-03,1,21,18,8.4,Saturday,February,Normal Day,
2018-02-03,2,8,18,12.5,Saturday,February,Normal Day,
2018-02-03,3,33,21,23.9,Saturday,February,Normal Day,
2018-02-04,1,22,26,17.1,Sunday,February,Normal Day,
2018-02-04,2,30,21,8.8,Sunday,February,Normal Day,
2018-02-04,3,51,20,32.1,Sunday,February,Normal Day,
2018-02-05,1,27,20,29.8,Monday,February,Normal Day,
2018-02-05,2,33,16,12.0,Monday,February,Normal Day,
2018-02-05,3,33,26,22.2,Monday,February,Normal Day,
2018-02-06,1,48,19,8.2,Tuesday,February,Normal Day,
2018-02-06,2,49,17,19.1,Tuesday,February,Normal Day,
2018-02-06,3,30,15,32.6,Tuesday,February,Normal Day,
2018-02-07,1,6,27,9.7,Wednesday,February,Normal Day,
2018-02-07,2,37,17,24.7,Wednesday,February,Normal Day,
2018-02-07,3,46,22,11.4,Wednesday,February,Normal Day,
2018-02-08,1,33,19,19.1,Thursday,February,Normal Day,
2018-02-08,2,21,18,10.2,Thursday,February,Normal Day,
2018-02-08,3,3,21,9.4,Thursday,February,Normal Day,
2018-02-09,1,31,16,18.6,Friday,February,Normal Day,
2018-02-09,2,40,20,23.1,Friday,February,Normal Day,
2018-02-09,3,32,28,3.9,Friday,February,Normal Day,
2018-02-10,1,2,29,32.5,Saturday,February,Swami Dayananda Saraswati Jayanti (R),3.0
2018-02-10,2,2,29,17.4,Saturday,February,Swami Dayananda Saraswati Jayanti (R),3.0
2018-02-10,3,33,24,24.5,Saturday,February,Swami Dayananda Saraswati Jayanti (R),3.0
2018-02-11,1,48,23,23.3,Sunday,February,Normal Day,
2018-02-11,2,26,21,10.2,Sunday,February,Normal Day,
2018-02-11,3,24,17,9.0,Sunday,February,Normal Day,
2018-02-12,1,7,27,3.4,Monday,February,Normal Day,
2018-02-12,2,20,23,20.9,Monday,February,Normal Day,
2018-02-12,3,46,15,3.1,Monday,February,Normal Day,
2018-02-13,1,23,28,29.3,Tuesday,February,Normal Day,
2018-02-13,2,2,29,12.8,Tuesday,February,Normal Day,
2018-02-13,3,51,21,22.3,Tuesday,February,Normal Day,
2018-02-14,1,22,23,5.8,Wednesday,February,Maha Shivaratri (G),2.0
2018-02-14,2,49,24,28.3,Wednesday,February,Maha Shivaratri (G),2.0
2018-02-14,3,15,18,2.0,Wednesday,February,Maha Shivaratri (G),2.0
2018-02-15,1,37,20,18.0,Thursday,February,Normal Day,
2018-02-15,2,44,15,27.3,Thursday,February,Normal Day,
2018-02-15,3,4,26,20.7,Thursday,February,Normal Day,
2018-02-16,1,52,20,2.5,Friday,February,Normal Day,
2018-02-16,2,40,28,18.1,Friday,February,Normal Day,
2018-02-16,3,50,18,5.0,Friday,February,Normal Day,
2018-02-17,1,19,26,23.7,Saturday,February,Normal Day,
2018-02-17,2,19,15,13.6,Saturday,February,Normal Day,
2018-02-17,3,26,26,24.6,Saturday,February,Normal Day,
2018-02-18,1,23,19,6.7,Sunday,February,Normal Day,
2018-02-18,2,1,29,23.1,Sunday,February,Normal Day,
2018-02-18,3,47,24,30.1,Sunday,February,Normal Day,
2018-02-19,1,48,16,8.5,Monday,February,Shivaji Jayanti (R),3.0
2018-02-19,2,1,23,21.9,Monday,February,Shivaji Jayanti (R),3.0
2018-02-19,3,5,27,24.4,Monday,February,Shivaji Jayanti (R),3.0
2018-02-20,1,3,20,24.2,Tuesday,February,Normal Day,
2018-02-20,2,51,26,18.9,Tuesday,February,Normal Day,
2018-02-20,3,29,19,4.6,Tuesday,February,Normal Day,
2018-02-21,1,47,28,3.7,Wednesday,February,Normal Day,
2018-02-21,2,52,15,10.8,Wednesday,February,Normal Day,
2018-02-21,3,26,19,16.0,Wednesday,February,Normal Day,
2018-02-22,1,39,24,16.5,Thursday,February,Normal Day,
2018-02-22,2,30,18,6.3,Thursday,February,Normal Day,
2018-02-22,3,10,19,13.6,Thursday,February,Normal Day,
2018-02-23,1,34,20,21.1,Friday,February,Normal Day,
2018-02-23,2,19,18,12.8,Friday,February,Normal Day,
2018-02-23,3,5,24,16.8,Friday,February,Normal Day,
2018-02-24,1,24,27,6.0,Saturday,February,Normal Day,
2018-02-24,2,28,21,31.0,Saturday,February,Normal Day,
2018-02-24,3,12,25,26.4,Saturday,February,Normal Day,
2018-02-25,1,33,16,19.1,Sunday,February,Normal Day,
2018-02-25,2,43,15,26.8,Sunday,February,Normal Day,
2018-02-25,3,1,19,20.8,Sunday,February,Normal Day,
2018-02-26,1,43,15,21.6,Monday,February,Normal Day,
2018-02-26,2,12,26,9.6,Monday,February,Normal Day,
2018-02-26,3,51,29,12.9,Monday,February,Normal Day,
2018-02-27,1,17,16,22.7,Tuesday,February,Normal Day,
2018-02-27,2,26,24,11.0,Tuesday,February,Normal Day,
2018-02-27,3,34,24,1.5,Tuesday,February,Normal Day,
2018-02-28,1,4,17,9.8,Wednesday,February,Normal Day,
2018-02-28,2,45,24,23.1,Wednesday,February,Normal Day,
2018-02-28,3,36,25,28.9,Wednesday,February,Normal Day,
2018-03-01,1,36,23,26.5,Thursday,March,Holika Dahan/Dolyatra (R),3.0
2018-03-01,2,24,24,14.4,Thursday,March,Holika Dahan/Dolyatra (R),3.0
2018-03-01,3,48,17,32.5,Thursday,March,Holika Dahan/Dolyatra (R),3.0
2018-03-02,1,39,18,12.7,Friday,March,Holi (G),3.0
2018-03-02,2,32,22,28.5,Friday,March,Holi (G),3.0
2018-03-02,3,13,19,8.4,Friday,March,Holi (G),3.0
2018-03-03,1,41,21,24.9,Saturday,March,Normal Day,
2018-03-03,2,20,28,29.7,Saturday,March,Normal Day,
2018-03-03,3,19,23,11.0,Saturday,March,Normal Day,
2018-03-04,1,41,15,2.5,Sunday,March,Normal Day,
2018-03-04,2,7,17,3.7,Sunday,March,Normal Day,
2018-03-04,3,52,26,31.2,Sunday,March,Normal Day,
2018-03-05,1,16,17,16.6,Monday,March,Normal Day,
2018-03-05,2,12,19,3.7,Monday,March,Normal Day,
2018-03-05,3,21,23,18.5,Monday,March,Normal Day,
2018-03-06,1,16,18,31.1,Tuesday,March,Normal Day,
2018-03-06,2,42,23,4.4,Tuesday,March,Normal Day,
2018-03-06,3,31,24,2.6,Tuesday,March,Normal Day,
2018-03-07,1,23,24,14.9,Wednesday,March,Normal Day,
2018-03-07,2,18,27,12.0,Wednesday,March,Normal Day,
2018-03-07,3,10,29,5.4,Wednesday,March,Normal Day,
2018-03-08,1,38,24,20.6,Thursday,March,Normal Day,
2018-03-08,2,40,21,14.4,Thursday,March,Normal Day,
2018-03-08,3,27,24,13.5,Thursday,March,Normal Day,
2018-03-09,1,29,24,5.5,Friday,March,Normal Day,
2018-03-09,2,8,19,8.3,Friday,March,Normal Day,
2018-03-09,3,52,27,12.7,Friday,March,Normal Day,
2018-03-10,1,25,15,31.1,Saturday,March,Normal Day,
2018-03-10,2,6,27,24.9,Saturday,March,Normal Day,
2018-03-10,3,44,26,3.5,Saturday,March,Normal Day,
2018-03-11,1,10,20,23.4,Sunday,March,Normal Day,
2018-03-11,2,3,24,11.4,Sunday,March,Normal Day,
2018-03-11,3,28,27,1.2,Sunday,March,Normal Day,
2018-03-12,1,28,28,2.6,Monday,March,Normal Day,
2018-03-12,2,41,22,4.6,Monday,March,Normal Day,
2018-03-12,3,13,21,24.7,Monday,March,Normal Day,
2018-03-13,1,49,26,31.6,Tuesday,March,Normal Day,
2018-03-13,2,38,23,28.6,Tuesday,March,Normal Day,
2018-03-13,3,44,19,31.6,Tuesday,March,Normal Day,
2018-03-14,1,47,27,31.8,Wednesday,March,Normal Day,
2018-03-14,2,21,19,2.2,Wednesday,March,Normal Day,
2018-03-14,3,36,25,30.2,Wednesday,March,Normal Day,
2018-03-15,1,18,17,23.1,Thursday,March,Normal Day,
2018-03-15,2,14,29,20.9,Thursday,March,Normal Day,
2018-03-15,3,3,29,15.3,Thursday,March,Normal Day,
2018-03-16,1,12,21,2.3,Friday,March,Normal Day,
2018-03-16,2,8,24,31.2,Friday,March,Normal Day,
2018-03-16,3,28,20,15.4,Friday,March,Normal Day,
2018-03-17,1,28,19,9.7,Saturday,March,Normal Day,
2018-03-17,2,50,18,15.6,Saturday,March,Normal Day,
2018-03-17,3,41,26,3.3,Saturday,March,Normal Day,
2018-03-18,1,17,18,32.4,Sunday,March,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),3.0
2018-03-18,2,20,23,10.7,Sunday,March,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),3.0
2018-03-18,3,29,27,22.7,Sunday,March,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),3.0
2018-03-19,1,6,27,29.9,Monday,March,Normal Day,
2018-03-19,2,5,16,14.1,Monday,March,Normal Day,
2018-03-19,3,10,29,30.2,Monday,March,Normal Day,
2018-03-20,1,45,22,28.9,Tuesday,March,Normal Day,
2018-03-20,2,33,19,1.6,Tuesday,March,Normal Day,
2018-03-20,3,32,20,26.7,Tuesday,March,Normal Day,
2018-03-21,1,21,29,5.6,Wednesday,March,Normal Day,
2018-03-21,2,22,24,13.0,Wednesday,March,Normal Day,
2018-03-21,3,13,25,27.7,Wednesday,March,Normal Day,
2018-03-22,1,35,15,15.8,Thursday,March,Normal Day,
2018-03-22,2,48,29,9.5,Thursday,March,Normal Day,
2018-03-22,3,17,21,28.5,Thursday,March,Normal Day,
2018-03-23,1,38,19,32.8,Friday,March,Normal Day,
2018-03-23,2,37,17,18.6,Friday,March,Normal Day,
2018-03-23,3,10,19,31.0,Friday,March,Normal Day,
2018-03-24,1,14,17,8.7,Saturday,March,Normal Day,
2018-03-24,2,51,23,4.9,Saturday,March,Normal Day,
2018-03-24,3,1,27,20.2,Saturday,March,Normal Day,
2018-03-25,1,34,15,25.0,Sunday,March,Ram Navami (R),3.0
2018-03-25,2,39,26,9.4,Sunday,March,Ram Navami (R),3.0
2018-03-25,3,3,24,16.7,Sunday,March,Ram Navami (R),3.0
2018-03-26,1,1,25,10.6,Monday,March,Normal Day,
2018-03-26,2,30,20,31.8,Monday,March,Normal Day,
2018-03-26,3,17,28,26.1,Monday,March,Normal Day,
2018-03-27,1,15,29,1.7,Tuesday,March,Normal Day,
2018-03-27,2,2,19,20.6,Tuesday,March,Normal Day,
2018-03-27,3,38,25,7.6,Tuesday,March,Normal Day,
2018-03-28,1,50,26,32.2,Wednesday,March,Normal Day,
2018-03-28,2,15,16,21.2,Wednesday,March,Normal Day,
2018-03-28,3,34,25,3.7,Wednesday,March,Normal Day,
2018-03-29,1,33,18,18.3,Thursday,March,Mahavir Jayanti (G),2.0
2018-03-29,2,30,22,29.9,Thursday,March,Mahavir Jayanti (G),2.0
2018-03-29,3,17,21,17.6,Thursday,March,Mahavir Jayanti (G),2.0
2018-03-30,1,10,19,26.3,Friday,March,Good Friday (G),5.0
2018-03-30,2,17,22,27.7,Friday,March,Good Friday (G),5.0
2018-03-30,3,5,26,2.9,Friday,March,Good Friday (G),5.0
2018-03-31,1,2,16,20.7,Saturday,March,Normal Day,
2018-03-31,2,43,27,7.5,Saturday,March,Normal Day,
2018-03-31,3,23,25,3.2,Saturday,March,Normal Day,
2018-04-01,1,11,21,19.5,Sunday,April,Easter Sunday (R),5.0
2018-04-01,2,4,20,23.1,Sunday,April,Easter Sunday (R),5.0
2018-04-01,3,25,22,23.1,Sunday,April,Easter Sunday (R),5.0
2018-04-02,1,27,17,28.8,Monday,April,Normal Day,
2018-04-02,2,51,27,31.9,Monday,April,Normal Day,
2018-04-02,3,18,17,27.1,Monday,April,Normal Day,
2018-04-03,1,22,26,11.9,Tuesday,April,Normal Day,
2018-04-03,2,5,19,18.4,Tuesday,April,Normal Day,
2018-04-03,3,46,23,12.2,Tuesday,April,Normal Day,
2018-04-04,1,26,16,4.9,Wednesday,April,Normal Day,
2018-04-04,2,26,27,11.1,Wednesday,April,Normal Day,
2018-04-04,3,22,23,16.2,Wednesday,April,Normal Day,
2018-04-05,1,43,29,17.2,Thursday,April,Normal Day,
2018-04-05,2,17,29,12.9,Thursday,April,Normal Day,
2018-04-05,3,8,24,28.6,Thursday,April,Normal Day,
2018-04-06,1,52,15,19.9,Friday,April,Normal Day,
2018-04-06,2,22,29,18.0,Friday,April,Normal Day,
2018-04-06,3,23,28,20.6,Friday,April,Normal Day,
2018-04-07,1,45,28,15.6,Saturday,April,Normal Day,
2018-04-07,2,51,24,2.0,Saturday,April,Normal Day,
2018-04-07,3,23,21,22.8,Saturday,April,Normal Day,
2018-04-08,1,45,28,24.8,Sunday,April,Normal Day,
2018-04-08,2,35,16,15.1,Sunday,April,Normal Day,
2018-04-08,3,25,17,8.6,Sunday,April,Normal Day,
2018-04-09,1,10,21,12.9,Monday,April,Normal Day,
2018-04-09,2,39,21,11.1,Monday,April,Normal Day,
2018-04-09,3,44,20,11.3,Monday,April,Normal Day,
2018-04-10,1,20,23,29.3,Tuesday,April,Normal Day,
2018-04-10,2,3,23,22.5,Tuesday,April,Normal Day,
2018-04-10,3,47,23,16.8,Tuesday,April,Normal Day,
2018-04-11,1,34,18,18.0,Wednesday,April,Normal Day,
2018-04-11,2,49,29,24.7,Wednesday,April,Normal Day,
2018-04-11,3,41,26,4.9,Wednesday,April,Normal Day,
2018-04-12,1,26,19,12.4,Thursday,April,Normal Day,
2018-04-12,2,45,16,8.6,Thursday,April,Normal Day,
2018-04-12,3,33,20,20.2,Thursday,April,Normal Day,
2018-04-13,1,6,19,4.1,Friday,April,Normal Day,
2018-04-13,2,4,20,8.7,Friday,April,Normal Day,
2018-04-13,3,30,28,6.8,Friday,April,Normal Day,
2018-04-14,1,9,29,2.6,Saturday,April,Vaisakhi/Vishu/Mesadi (R),3.0
2018-04-14,2,31,21,2.5,Saturday,April,Vaisakhi/Vishu/Mesadi (R),3.0
2018-04-14,3,24,22,23.1,Saturday,April,Vaisakhi/Vishu/Mesadi (R),3.0
2018-04-15,1,20,29,29.5,Sunday,April,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),3.0
2018-04-15,2,15,26,30.2,Sunday,April,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),3.0
2018-04-15,3,30,20,32.0,Sunday,April,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),3.0
2018-04-16,1,2,22,23.9,Monday,April,Normal Day,
2018-04-16,2,26,29,17.9,Monday,April,Normal Day,
2018-04-16,3,5,17,27.6,Monday,April,Normal Day,
2018-04-17,1,4,20,31.8,Tuesday,April,Normal Day,
2018-04-17,2,20,17,7.2,Tuesday,April,Normal Day,
2018-04-17,3,1,15,17.8,Tuesday,April,Normal Day,
2018-04-18,1,38,24,25.4,Wednesday,April,Normal Day,
2018-04-18,2,36,19,17.0,Wednesday,April,Normal Day,
2018-04-18,3,33,27,17.8,Wednesday,April,Normal Day,
2018-04-19,1,10,20,11.6,Thursday,April,Normal Day,
2018-04-19,2,44,19,2.8,Thursday,April,Normal Day,
2018-04-19,3,2,16,11.1,Thursday,April,Normal Day,
2018-04-20,1,37,18,8.9,Friday,April,Normal Day,
2018-04-20,2,11,23,25.1,Friday,April,Normal Day,
2018-04-20,3,35,29,15.9,Friday,April,Normal Day,
2018-04-21,1,5,28,4.2,Saturday,April,Normal Day,
2018-04-21,2,50,28,24.7,Saturday,April,Normal Day,
2018-04-21,3,11,28,30.7,Saturday,April,Normal Day,
2018-04-22,1,35,23,7.4,Sunday,April,Normal Day,
2018-04-22,2,22,17,30.4,Sunday,April,Normal Day,
2018-04-22,3,8,26,27.7,Sunday,April,Normal Day,
2018-04-23,1,14,25,26.2,Monday,April,Normal Day,
2018-04-23,2,21,26,6.0,Monday,April,Normal Day,
2018-04-23,3,14,19,26.9,Monday,April,Normal Day,
2018-04-24,1,25,24,29.9,Tuesday,April,Normal Day,
2018-04-24,2,18,27,19.6,Tuesday,April,Normal Day,
2018-04-24,3,40,22,15.3,Tuesday,April,Normal Day,
2018-04-25,1,38,28,29.6,Wednesday,April,Normal Day,
2018-04-25,2,15,15,24.7,Wednesday,April,Normal Day,
2018-04-25,3,33,15,8.2,Wednesday,April,Normal Day,
2018-04-26,1,14,29,13.1,Thursday,April,Normal Day,
2018-04-26,2,51,19,29.8,Thursday,April,Normal Day,
2018-04-26,3,6,21,4.5,Thursday,April,Normal Day,
2018-04-27,1,8,17,20.9,Friday,April,Normal Day,
2018-04-27,2,15,24,5.3,Friday,April,Normal Day,
2018-04-27,3,52,29,20.6,Friday,April,Normal Day,
2018-04-28,1,36,28,29.4,Saturday,April,Normal Day,
2018-04-28,2,33,27,5.7,Saturday,April,Normal Day,
2018-04-28,3,33,27,8.8,Saturday,April,Normal Day,
2018-04-29,1,2,28,7.3,Sunday,April,Normal Day,
2018-04-29,2,10,24,16.6,Sunday,April,Normal Day,
2018-04-29,3,13,15,4.1,Sunday,April,Normal Day,
2018-04-30,1,45,29,12.9,Monday,April,Buddha Purnima (G),3.0
2018-04-30,2,15,22,20.1,Monday,April,Buddha Purnima (G),3.0
2018-04-30,3,29,27,18.1,Monday,April,Buddha Purnima (G),3.0
2018-05-01,1,45,29,13.9,Tuesday,May,Normal Day,
2018-05-01,2,51,16,1.2,Tuesday,May,Normal Day,
2018-05-01,3,26,17,18.9,Tuesday,May,Normal Day,
2018-05-02,1,20,25,20.0,Wednesday,May,Normal Day,
2018-05-02,2,40,25,31.5,Wednesday,May,Normal Day,
2018-05-02,3,23,20,8.1,Wednesday,May,Normal Day,
2018-05-03,1,43,29,10.0,Thursday,May,Normal Day,
2018-05-03,2,40,26,30.0,Thursday,May,Normal Day,
2018-05-03,3,33,28,4.0,Thursday,May,Normal Day,
2018-05-04,1,43,29,24.0,Friday,May,Normal Day,
2018-05-04,2,48,26,4.1,Friday,May,Normal Day,
2018-05-04,3,37,18,26.1,Friday,May,Normal Day,
2018-05-05,1,49,22,21.6,Saturday,May,Normal Day,
2018-05-05,2,9,26,12.8,Saturday,May,Normal Day,
2018-05-05,3,14,20,3.3,Saturday,May,Normal Day,
2018-05-06,1,11,22,27.7,Sunday,May,Normal Day,
2018-05-06,2,37,21,4.7,Sunday,May,Normal Day,
2018-05-06,3,36,19,6.1,Sunday,May,Normal Day,
2018-05-07,1,1,20,27.6,Monday,May,Normal Day,
2018-05-07,2,51,29,10.8,Monday,May,Normal Day,
2018-05-07,3,47,22,20.3,Monday,May,Normal Day,
2018-05-08,1,10,23,24.6,Tuesday,May,Normal Day,
2018-05-08,2,26,18,26.0,Tuesday,May,Normal Day,
2018-05-08,3,52,23,4.5,Tuesday,May,Normal Day,
2018-05-09,1,38,23,28.4,Wednesday,May,Guru Rabindranath's Birthday (R),3.0
2018-05-09,2,27,16,15.7,Wednesday,May,Guru Rabindranath's Birthday (R),3.0
2018-05-09,3,43,16,30.2,Wednesday,May,Guru Rabindranath's Birthday (R),3.0
2018-05-10,1,51,25,15.3,Thursday,May,Normal Day,
2018-05-10,2,7,20,6.4,Thursday,May,Normal Day,
2018-05-10,3,24,18,14.2,Thursday,May,Normal Day,
2018-05-11,1,43,15,12.4,Friday,May,Normal Day,
2018-05-11,2,50,20,7.8,Friday,May,Normal Day,
2018-05-11,3,17,19,17.3,Friday,May,Normal Day,
2018-05-12,1,20,18,15.5,Saturday,May,Normal Day,
2018-05-12,2,40,20,28.3,Saturday,May,Normal Day,
2018-05-12,3,32,15,10.4,Saturday,May,Normal Day,
2018-05-13,1,51,27,13.5,Sunday,May,Normal Day,
2018-05-13,2,32,25,26.4,Sunday,May,Normal Day,
2018-05-13,3,45,28,6.9,Sunday,May,Normal Day,
2018-05-14,1,40,27,15.9,Monday,May,Normal Day,
2018-05-14,2,14,17,2.9,Monday,May,Normal Day,
2018-05-14,3,2,17,15.3,Monday,May,Normal Day,
2018-05-15,1,50,20,14.9,Tuesday,May,Normal Day,
2018-05-15,2,4,28,18.7,Tuesday,May,Normal Day,
2018-05-15,3,39,15,11.5,Tuesday,May,Normal Day,
2018-05-16,1,10,17,12.7,Wednesday,May,Normal Day,
2018-05-16,2,33,17,21.4,Wednesday,May,Normal Day,
2018-05-16,3,32,21,32.1,Wednesday,May,Normal Day,
2018-05-17,1,8,16,28.5,Thursday,May,Normal Day,
2018-05-17,2,3,15,18.5,Thursday,May,Normal Day,
2018-05-17,3,8,22,7.1,Thursday,May,Normal Day,
2018-05-18,1,37,20,11.7,Friday,May,Normal Day,
2018-05-18,2,28,17,29.2,Friday,May,Normal Day,
2018-05-18,3,35,29,23.9,Friday,May,Normal Day,
2018-05-19,1,46,22,23.9,Saturday,May,Normal Day,
2018-05-19,2,52,25,31.6,Saturday,May,Normal Day,
2018-05-19,3,14,19,5.3,Saturday,May,Normal Day,
2018-05-20,1,18,29,11.2,Sunday,May,Normal Day,
2018-05-20,2,33,21,21.1,Sunday,May,Normal Day,
2018-05-20,3,48,21,27.9,Sunday,May,Normal Day,
2018-05-21,1,29,27,28.8,Monday,May,Normal Day,
2018-05-21,2,1,26,23.3,Monday,May,Normal Day,
2018-05-21,3,11,29,20.8,Monday,May,Normal Day,
2018-05-22,1,3,24,27.2,Tuesday,May,Normal Day,
2018-05-22,2,20,21,1.9,Tuesday,May,Normal Day,
2018-05-22,3,30,19,11.8,Tuesday,May,Normal Day,
