Date,Food item,Qty,Temperature,Precipitation,Day,Month,Special Occasion
2018-07-27,mandi,10,20,23.4,Friday,July,Normal Day
2018-07-28,mandi,3,24,11.4,Saturday,July,Normal Day
2018-07-29,mandi,28,27,1.2,Sunday,July,Normal Day
2018-07-30,mandi,28,28,2.6,Monday,July,Normal Day
2018-07-31,mandi,41,22,4.6,Tuesday,July,Normal Day
2018-08-01,mandi,13,21,24.7,Wednesday,August,Normal Day
2018-08-02,mandi,49,26,31.6,Thursday,August,Normal Day
2018-08-03,mandi,38,23,28.6,Friday,August,Normal Day
2018-08-04,mandi,44,19,31.6,Saturday,August,Normal Day
2018-08-05,mandi,47,27,31.8,Sunday,August,Normal Day
2018-08-06,mandi,21,19,2.2,Monday,August,Normal Day
2018-08-07,mandi,36,25,30.2,Tuesday,August,Normal Day
2018-08-08,mandi,18,17,23.1,Wednesday,August,Normal Day
2018-08-09,mandi,14,29,20.9,Thursday,August,Normal Day
2018-08-10,mandi,3,29,15.3,Friday,August,Normal Day
2018-08-11,mandi,12,21,2.3,Saturday,August,Normal Day
2018-08-12,mandi,8,24,31.2,Sunday,August,Normal Day
2018-08-13,mandi,28,20,15.4,Monday,August,Normal Day
2018-08-14,mandi,28,19,9.7,Tuesday,August,Normal Day
2018-08-15,mandi,50,18,15.6,Wednesday,August,Normal Day
2018-08-16,mandi,41,26,3.3,Thursday,August,Normal Day
2018-08-17,mandi,17,18,32.4,Friday,August,Normal Day
2018-08-18,mandi,20,23,10.7,Saturday,August,Normal Day
2018-08-19,mandi,29,27,22.7,Sunday,August,Normal Day
2018-08-20,mandi,6,27,29.9,Monday,August,Normal Day
2018-08-21,mandi,5,16,14.1,Tuesday,August,Normal Day
2018-08-22,mandi,10,29,30.2,Wednesday,August,Normal Day
2018-08-23,mandi,45,22,28.9,Thursday,August,Normal Day
2018-08-24,mandi,33,19,1.6,Friday,August,Normal Day
2018-08-25,mandi,32,20,26.7,Saturday,August,Normal Day
2018-08-26,mandi,21,29,5.6,Sunday,August,Normal Day
2018-08-27,mandi,22,24,13.0,Monday,August,Normal Day
2018-08-28,mandi,13,25,27.7,Tuesday,August,Normal Day
2018-08-29,mandi,35,15,15.8,Wednesday,August,Normal Day
2018-08-30,mandi,48,29,9.5,Thursday,August,Normal Day
2018-08-31,mandi,17,21,28.5,Friday,August,Normal Day
2018-09-01,mandi,38,19,32.8,Saturday,September,Normal Day
2018-09-02,mandi,37,17,18.6,Sunday,September,Normal Day
2018-09-03,mandi,10,19,31.0,Monday,September,Normal Day
2018-09-04,mandi,14,17,8.7,Tuesday,September,Normal Day
2018-09-05,mandi,51,23,4.9,Wednesday,September,Normal Day
2018-09-06,mandi,1,27,20.2,Thursday,September,Normal Day
2018-09-07,mandi,34,15,25.0,Friday,September,Normal Day
2018-09-08,mandi,39,26,9.4,Saturday,September,Normal Day
2018-09-09,mandi,3,24,16.7,Sunday,September,Normal Day
2018-09-10,mandi,1,25,10.6,Monday,September,Normal Day
2018-09-11,mandi,30,20,31.8,Tuesday,September,Normal Day
2018-09-12,mandi,17,28,26.1,Wednesday,September,Normal Day
2018-09-13,mandi,15,29,1.7,Thursday,September,Normal Day
2018-09-14,mandi,2,19,20.6,Friday,September,Normal Day
2018-09-15,mandi,38,25,7.6,Saturday,September,Normal Day
2018-09-16,mandi,50,26,32.2,Sunday,September,Normal Day
2018-09-17,mandi,15,16,21.2,Monday,September,Normal Day
2018-09-18,mandi,34,25,3.7,Tuesday,September,Normal Day
2018-09-19,mandi,33,18,18.3,Wednesday,September,Normal Day
2018-09-20,mandi,30,22,29.9,Thursday,September,Normal Day
2018-09-21,mandi,17,21,17.6,Friday,September,Normal Day
2018-09-22,mandi,10,19,26.3,Saturday,September,Normal Day
2018-09-23,mandi,17,22,27.7,Sunday,September,Normal Day
2018-09-24,mandi,5,26,2.9,Monday,September,Normal Day
2018-09-25,mandi,2,16,20.7,Tuesday,September,Normal Day
2018-09-26,mandi,43,27,7.5,Wednesday,September,Normal Day
2018-09-27,mandi,23,25,3.2,Thursday,September,Normal Day
2018-09-28,mandi,11,21,19.5,Friday,September,Normal Day
2018-09-29,mandi,4,20,23.1,Saturday,September,Normal Day
2018-09-30,mandi,25,22,23.1,Sunday,September,Normal Day
2018-10-01,mandi,27,17,28.8,Monday,October,Normal Day
2018-10-02,mandi,51,27,31.9,Tuesday,October,Normal Day
2018-10-03,mandi,18,17,27.1,Wednesday,October,Normal Day
2018-10-04,mandi,22,26,11.9,Thursday,October,Normal Day
2018-10-05,mandi,5,19,18.4,Friday,October,Normal Day
2018-10-06,mandi,46,23,12.2,Saturday,October,Normal Day
2018-10-07,mandi,26,16,4.9,Sunday,October,Normal Day
2018-10-08,mandi,26,27,11.1,Monday,October,Normal Day
2018-10-09,mandi,22,23,16.2,Tuesday,October,Normal Day
2018-10-10,mandi,43,29,17.2,Wednesday,October,Normal Day
2018-10-11,mandi,17,29,12.9,Thursday,October,Normal Day
2018-10-12,mandi,8,24,28.6,Friday,October,Normal Day
2018-10-13,mandi,52,15,19.9,Saturday,October,Normal Day
2018-10-14,mandi,22,29,18.0,Sunday,October,Normal Day
2018-10-15,mandi,23,28,20.6,Monday,October,Normal Day
2018-10-16,mandi,45,28,15.6,Tuesday,October,Normal Day
2018-10-17,mandi,51,24,2.0,Wednesday,October,Normal Day
2018-10-18,mandi,23,21,22.8,Thursday,October,Normal Day
2018-10-19,mandi,45,28,24.8,Friday,October,Normal Day
2018-10-20,mandi,35,16,15.1,Saturday,October,Normal Day
2018-10-21,mandi,25,17,8.6,Sunday,October,Normal Day
2018-10-22,mandi,10,21,12.9,Monday,October,Normal Day
2018-10-23,mandi,39,21,11.1,Tuesday,October,Normal Day
2018-10-24,mandi,44,20,11.3,Wednesday,October,Normal Day
2018-10-25,mandi,20,23,29.3,Thursday,October,Normal Day
2018-10-26,mandi,3,23,22.5,Friday,October,Normal Day
2018-10-27,mandi,47,23,16.8,Saturday,October,Normal Day
2018-10-28,mandi,34,18,18.0,Sunday,October,Normal Day
2018-10-29,mandi,49,29,24.7,Monday,October,Normal Day
2018-10-30,mandi,41,26,4.9,Tuesday,October,Normal Day
2018-10-31,mandi,26,19,12.4,Wednesday,October,Normal Day
2018-11-01,mandi,45,16,8.6,Thursday,November,Normal Day
2018-11-02,mandi,33,20,20.2,Friday,November,Normal Day
2018-11-03,mandi,6,19,4.1,Saturday,November,Normal Day
2018-11-04,mandi,4,20,8.7,Sunday,November,Normal Day
2018-11-05,mandi,30,28,6.8,Monday,November,Normal Day
2018-11-06,mandi,9,29,2.6,Tuesday,November,Normal Day
2018-11-07,mandi,31,21,2.5,Wednesday,November,Normal Day
2018-11-08,mandi,24,22,23.1,Thursday,November,Normal Day
2018-11-09,mandi,20,29,29.5,Friday,November,Normal Day
2018-11-10,mandi,15,26,30.2,Saturday,November,Normal Day
2018-11-11,mandi,30,20,32.0,Sunday,November,Normal Day
2018-11-12,mandi,2,22,23.9,Monday,November,Normal Day
2018-11-13,mandi,26,29,17.9,Tuesday,November,Normal Day
2018-11-14,mandi,5,17,27.6,Wednesday,November,Normal Day
2018-11-15,mandi,4,20,31.8,Thursday,November,Normal Day
2018-11-16,mandi,20,17,7.2,Friday,November,Normal Day
2018-11-17,mandi,1,15,17.8,Saturday,November,Normal Day
2018-11-18,mandi,38,24,25.4,Sunday,November,Normal Day
2018-11-19,mandi,36,19,17.0,Monday,November,Normal Day
2018-11-20,mandi,33,27,17.8,Tuesday,November,Normal Day
2018-11-21,mandi,10,20,11.6,Wednesday,November,Normal Day
2018-11-22,mandi,44,19,2.8,Thursday,November,Normal Day
2018-11-23,mandi,2,16,11.1,Friday,November,Normal Day
2018-11-24,mandi,37,18,8.9,Saturday,November,Normal Day
2018-11-25,mandi,11,23,25.1,Sunday,November,Normal Day
2018-11-26,mandi,35,29,15.9,Monday,November,Normal Day
2018-11-27,mandi,5,28,4.2,Tuesday,November,Normal Day
2018-11-28,mandi,50,28,24.7,Wednesday,November,Normal Day
2018-11-29,mandi,11,28,30.7,Thursday,November,Normal Day
2018-11-30,mandi,35,23,7.4,Friday,November,Normal Day
2018-12-01,mandi,22,17,30.4,Saturday,December,Normal Day
2018-12-02,mandi,8,26,27.7,Sunday,December,Normal Day
2018-12-03,mandi,14,25,26.2,Monday,December,Normal Day
2018-12-04,mandi,21,26,6.0,Tuesday,December,Normal Day
2018-12-05,mandi,14,19,26.9,Wednesday,December,Normal Day
2018-12-06,mandi,25,24,29.9,Thursday,December,Normal Day
2018-12-07,mandi,18,27,19.6,Friday,December,Normal Day
2018-12-08,mandi,40,22,15.3,Saturday,December,Normal Day
2018-12-09,mandi,38,28,29.6,Sunday,December,Normal Day
2018-12-10,mandi,15,15,24.7,Monday,December,Normal Day
2018-12-11,mandi,33,15,8.2,Tuesday,December,Normal Day
2018-12-12,mandi,14,29,13.1,Wednesday,December,Normal Day
2018-12-13,mandi,51,19,29.8,Thursday,December,Normal Day
2018-12-14,mandi,6,21,4.5,Friday,December,Normal Day
2018-12-15,mandi,8,17,20.9,Saturday,December,Normal Day
2018-12-16,mandi,15,24,5.3,Sunday,December,Normal Day
2018-12-17,mandi,52,29,20.6,Monday,December,Normal Day
2018-12-18,mandi,36,28,29.4,Tuesday,December,Normal Day
2018-12-19,mandi,33,27,5.7,Wednesday,December,Normal Day
2018-12-20,mandi,33,27,8.8,Thursday,December,Normal Day
2018-12-21,mandi,2,28,7.3,Friday,December,Normal Day
2018-12-22,mandi,10,24,16.6,Saturday,December,Normal Day
2018-12-23,mandi,13,15,4.1,Sunday,December,Normal Day
2018-12-24,mandi,45,29,12.9,Monday,December,Normal Day
2018-12-25,mandi,15,22,20.1,Tuesday,December,Normal Day
2018-12-26,mandi,29,27,18.1,Wednesday,December,Normal Day
2018-12-27,mandi,45,29,13.9,Thursday,December,Normal Day
2018-12-28,mandi,51,16,1.2,Friday,December,Normal Day
2018-12-29,mandi,26,17,18.9,Saturday,December,Normal Day
2018-12-30,mandi,20,25,20.0,Sunday,December,Normal Day
2018-12-31,mandi,40,25,31.5,Monday,December,Normal Day
2019-01-01,mandi,23,20,8.1,Tuesday,January,New Year
2019-01-02,mandi,43,29,10.0,Wednesday,January,Normal Day
2019-01-03,mandi,40,26,30.0,Thursday,January,Normal Day
2019-01-04,mandi,33,28,4.0,Friday,January,Normal Day
2019-01-05,mandi,43,29,24.0,Saturday,January,Normal Day
2019-01-06,mandi,48,26,4.1,Sunday,January,Normal Day
2019-01-07,mandi,37,18,26.1,Monday,January,Normal Day
2019-01-08,mandi,49,22,21.6,Tuesday,January,Normal Day
2019-01-09,mandi,9,26,12.8,Wednesday,January,Normal Day
2019-01-10,mandi,14,20,3.3,Thursday,January,Normal Day
2019-01-11,mandi,11,22,27.7,Friday,January,Normal Day
2019-01-12,mandi,37,21,4.7,Saturday,January,Normal Day
2019-01-13,mandi,36,19,6.1,Sunday,January,Normal Day
2019-01-14,mandi,1,20,27.6,Monday,January,Normal Day
2019-01-15,mandi,51,29,10.8,Tuesday,January,Normal Day
2019-01-16,mandi,47,22,20.3,Wednesday,January,Normal Day
2019-01-17,mandi,10,23,24.6,Thursday,January,Normal Day
2019-01-18,mandi,26,18,26.0,Friday,January,Normal Day
2019-01-19,mandi,52,23,4.5,Saturday,January,Normal Day
2019-01-20,mandi,38,23,28.4,Sunday,January,Normal Day
2019-01-21,mandi,27,16,15.7,Monday,January,Normal Day
2019-01-22,mandi,43,16,30.2,Tuesday,January,Normal Day
2019-01-23,mandi,51,25,15.3,Wednesday,January,Normal Day
2019-01-24,mandi,7,20,6.4,Thursday,January,Normal Day
2019-01-25,mandi,24,18,14.2,Friday,January,Normal Day
2019-01-26,mandi,43,15,12.4,Saturday,January,Normal Day
2019-01-27,mandi,50,20,7.8,Sunday,January,Normal Day
2019-01-28,mandi,17,19,17.3,Monday,January,Normal Day
2019-01-29,mandi,20,18,15.5,Tuesday,January,Normal Day
2019-01-30,mandi,40,20,28.3,Wednesday,January,Normal Day
2019-01-31,mandi,32,15,10.4,Thursday,January,Normal Day
2019-02-01,mandi,51,27,13.5,Friday,February,Normal Day
2019-02-02,mandi,32,25,26.4,Saturday,February,Normal Day
2019-02-03,mandi,45,28,6.9,Sunday,February,Normal Day
2019-02-04,mandi,40,27,15.9,Monday,February,Normal Day
2019-02-05,mandi,14,17,2.9,Tuesday,February,Normal Day
2019-02-06,mandi,2,17,15.3,Wednesday,February,Normal Day
2019-02-07,mandi,50,20,14.9,Thursday,February,Normal Day
2019-02-08,mandi,4,28,18.7,Friday,February,Normal Day
2019-02-09,mandi,39,15,11.5,Saturday,February,Normal Day
2019-02-10,mandi,10,17,12.7,Sunday,February,Normal Day
2019-02-11,mandi,33,17,21.4,Monday,February,Normal Day
2019-02-12,mandi,32,21,32.1,Tuesday,February,Normal Day
2019-02-13,mandi,8,16,28.5,Wednesday,February,Normal Day
2019-02-14,mandi,3,15,18.5,Thursday,February,Normal Day
2019-02-15,mandi,8,22,7.1,Friday,February,Normal Day
2019-02-16,mandi,37,20,11.7,Saturday,February,Normal Day
2019-02-17,mandi,28,17,29.2,Sunday,February,Normal Day
2019-02-18,mandi,35,29,23.9,Monday,February,Normal Day
2019-02-19,mandi,46,22,23.9,Tuesday,February,Normal Day
2019-02-20,mandi,52,25,31.6,Wednesday,February,Normal Day
2019-02-21,mandi,14,19,5.3,Thursday,February,Normal Day
2019-02-22,mandi,18,29,11.2,Friday,February,Normal Day
2019-02-23,mandi,33,21,21.1,Saturday,February,Normal Day
2019-02-24,mandi,48,21,27.9,Sunday,February,Normal Day
2019-02-25,mandi,29,27,28.8,Monday,February,Normal Day
2019-02-26,mandi,1,26,23.3,Tuesday,February,Normal Day
2019-02-27,mandi,11,29,20.8,Wednesday,February,Normal Day
2019-02-28,mandi,3,24,27.2,Thursday,February,Normal Day
2019-03-01,mandi,20,21,1.9,Friday,March,Normal Day
2019-03-02,mandi,30,19,11.8,Saturday,March,Normal Day
2019-03-03,mandi,44,23,14.8,Sunday,March,Normal Day
2019-03-04,mandi,22,17,31.2,Monday,March,Normal Day
2019-03-05,mandi,10,26,5.3,Tuesday,March,Normal Day
2019-03-06,mandi,46,28,16.4,Wednesday,March,Normal Day
2019-03-07,mandi,17,21,26.4,Thursday,March,Normal Day
2019-03-08,mandi,14,16,1.5,Friday,March,Normal Day
2019-03-09,mandi,45,23,18.1,Saturday,March,Normal Day
2019-03-10,mandi,22,23,9.1,Sunday,March,Normal Day
2019-03-11,mandi,26,25,14.3,Monday,March,Normal Day
